zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
狀態,状态,Status,,สถานะ,,2,州,,2,상태,,2,Trạng thái,,4,"search.a33,overallOverview.a79,transactionItemList.a2,userManagement.a19,setting.state"
槓桿,杠杆,Leverage,,Leverage,,2,レバー,,2,지렛대,,2,Đòn bẩy,,4,"search.a34,overallOverview.a84,transactionItemList.a10"
點差,点差,Spread,,Spread,,2,ポイントの違い,,2,포인트 차이,,2,Giá chênh lệch,,4,"search.a35,userManagement.a103"
請輸入貨幣名稱,,,,,,8,,,7,,,9,,,15,search.a36
請輸入貨幣兌,,,,,,7,,,6,,,8,,,13,search.a37
訂單號,订单号,Order No,,เลขที่ใบสั่งซื้อ,,3,注文番号,,3,주문 번호,,4,Số Đơn đặt hàng,,6,"overallOverview.a69,depositWithdrawalManagement.a4"
真實姓名,真实姓名,Real Name,,ชื่อจริง,,4,実際の名前,,4,실제 이름,,5,Họ tên thực,,9,"overallOverview.a77,userManagement.a17,depositWithdrawalManagement.a7,riskWarning.realName"
手機號碼,手机号码,Mobile Number,,เบอร์มือถือ,,4,携帯番号,,4,핸드폰 번호,,5,Số điện thoại di động,,9,"overallOverview.a78,userManagement.a20,depositWithdrawalManagement.a8"
備註,备注,Notes,,หมายเหตุ,,2,述べる,,2,주목,,2,Ghi chú,,4,"overallOverview.a86,userManagement.a49,depositWithdrawalManagement.a15"
出金方式,出金方式,Withdrawal Method,,วิธีการถอนเงิน,,4,ゴールデンウェイ,,4,골든 웨이,,5,Phương thức xuất tiền,,9,"overallOverview.a75,userManagement.a96,depositWithdrawalManagement.a41"
總覽,总览,Overview,,ภาพรวม,,2,全体的な見解,,2,전체보기,,2,Tổng quan,,4,"overallOverview.a1,userManagement.a72"
通知中心,,,,,,4,,,4,,,5,,,9,overallOverview.a2
待審核入金,,,,,,5,,,5,,,7,,,11,overallOverview.a3
待審核出金,,,,,,5,,,5,,,7,,,11,overallOverview.a4
待審核身份認證,,,,,,8,,,7,,,9,,,15,"overallOverview.a5,setting.IdVerificationPending"
待審核出金帳戶,,,,,,8,,,7,,,9,,,15,"overallOverview.a6,setting.pendingAuditWithdrawalAccount"
風險警告,,,,,,4,,,4,,,5,,,9,"overallOverview.a7,riskWarning.title"
入金狀態,,,,,,4,,,4,,,5,,,9,"overallOverview.a8,depositWithdrawalManagement.a5"
用戶編號,,,,,,4,,,4,,,5,,,9,"overallOverview.a9,userManagement.a16,depositWithdrawalManagement.a6,riskWarning.userID"
入金金額(美金),,,,,,9,,,8,,,11,,,18,"overallOverview.a10,depositWithdrawalManagement.a9"
申請時間,,,,,,4,,,4,,,5,,,9,"overallOverview.a12,depositWithdrawalManagement.a12"
動作,,,,,,2,,,2,,,2,,,4,"overallOverview.a13,userManagement.a113,setting.action,depositWithdrawalManagement.a73,riskWarning.action,paramManagement.action"
待審核,,,,,,3,,,3,,,4,,,6,"overallOverview.a14,userManagement.a9"
出金狀態,,,,,,4,,,4,,,5,,,9,"overallOverview.a15,depositWithdrawalManagement.a39"
出金金額(美金),,,,,,9,,,8,,,11,,,18,"overallOverview.a16,depositWithdrawalManagement.a40"
其他資訊,,,,,,4,,,4,,,5,,,9,"overallOverview.a17,depositWithdrawalManagement.a42"
電子郵件,,,,,,4,,,4,,,5,,,9,"overallOverview.a18,userManagement.a21"
用戶層級,,,,,,4,,,4,,,5,,,9,"overallOverview.a19,userManagement.a84,setting.userLevel"
無資料,,,,,,3,,,3,,,4,,,6,"overallOverview.a21,depositWithdrawalManagement.a27,common.empty"
刷新倒數{參數}秒,,,,,,5 + ?,,,5 + ?,,,7 + ?,,,11 + ?,overallOverview.a22
總表,,,,,,2,,,2,,,2,,,4,overallOverview.a23
委託概況,,,,,,4,,,4,,,5,,,9,"overallOverview.a24,setting.commissionOverview"
持倉概況,,,,,,4,,,4,,,5,,,9,"overallOverview.a25,setting.positionOverview"
平倉概況,,,,,,4,,,4,,,5,,,9,overallOverview.a26
出入金概況,,,,,,5,,,5,,,7,,,11,overallOverview.a27
總委託單數,,,,,,5,,,5,,,7,,,11,overallOverview.a28
最新委託,,,,,,4,,,4,,,5,,,9,overallOverview.a29
總單數,,,,,,3,,,3,,,4,,,6,overallOverview.a30
總持倉數量,,,,,,5,,,5,,,7,,,11,overallOverview.a31
平均盈虧,,,,,,4,,,4,,,5,,,9,overallOverview.a32
最新開倉,,,,,,4,,,4,,,5,,,9,overallOverview.a33
平倉單數,,,,,,4,,,4,,,5,,,9,overallOverview.a34
總平倉數量(手),,,,,,9,,,8,,,11,,,18,overallOverview.a35
最新平倉,,,,,,4,,,4,,,5,,,9,overallOverview.a36
申請筆數,,,,,,4,,,4,,,5,,,9,overallOverview.a37
審核筆數,,,,,,4,,,4,,,5,,,9,overallOverview.a38
總金額,,,,,,3,,,3,,,4,,,6,overallOverview.a39
最新申請,,,,,,4,,,4,,,5,,,9,overallOverview.a40
交易報表,,,,,,4,,,4,,,5,,,9,"overallOverview.a41,setting.transactionStatement"
委託報表,,,,,,4,,,4,,,5,,,9,overallOverview.a42
持倉列表,,,,,,4,,,4,,,5,,,9,"overallOverview.a43,setting.positionList"
平倉列表,,,,,,4,,,4,,,5,,,9,overallOverview.a44
出入金報表,,,,,,5,,,5,,,7,,,11,"overallOverview.a45,setting.depositWithdrawalReport"
委託價格,,,,,,4,,,4,,,5,,,9,overallOverview.a46
委託期限,,,,,,4,,,4,,,5,,,9,overallOverview.a47
委託時間,,,,,,4,,,4,,,5,,,9,overallOverview.a48
客戶端IP,,,,,,5,,,5,,,7,,,11,overallOverview.a49
現在價格,,,,,,4,,,4,,,5,,,9,overallOverview.a50
目前盈虧,,,,,,4,,,4,,,5,,,9,overallOverview.a51
強制平倉,,,,,,4,,,4,,,5,,,9,overallOverview.a52
"強制平倉後，該使用者會依照當前的價格進行結算，可能會影響到使用者
的交易內容，且該行為無法復原。\n\n
確定要強制平倉該使用者的持倉嗎？",,,,,,79,,,67,,,93,,,150,overallOverview.a53
開倉時間,开仓时间,Opening Time,,เวลาเปิด,,4,開始時間,,4,개봉 시간,,5,Thời gian mất một vị trí,,9,"overallOverview.a54,riskWarning.openingTime"
更新時間,更新时间,Update Time,,อัพเดทเวลา,,4,更新時間,,4,업데이트 시간,,5,Thời gian cập nhật,,9,overallOverview.a55
更新細節,,,,,,4,,,4,,,5,,,9,overallOverview.a57
調整止{參數}價格 由{參數}調整成{參數},,,,,,3 + ?,,,3 + ?,,,4 + ?,,,6 + ?,overallOverview.a58
平倉類型,,,,,,4,,,4,,,5,,,9,overallOverview.a59
成交價格,成交价格,Transaction Price,,ราคาซื้อขาย,,4,取引価格,,4,거래 가격,,5,Giá cả giao dịch,,9,overallOverview.a60
平倉價格,平仓价格,Closing Price,,ราคาปิด,,4,ポジショニング価格,,4,포지셔닝 가격,,5,Giá vị thế thanh lý,,9,overallOverview.a61
總盈虧,总盈亏,Total Profit or Loss,,ค่ากำไรหรือขาดทุนทั้งหมด,,3,総利益と損失,,3,총 이익과 손실,,4,Tổng lãi lỗ,,6,overallOverview.a62
佣金,,,,,,2,,,2,,,2,,,4,overallOverview.a63
利息,,,,,,2,,,2,,,2,,,4,overallOverview.a64
隔夜費,隔夜费,Overnight Funding,,ค่าธรรมเนียมค้างคืน,,3,一晩料金,,3,밤새 요금,,4,Phí qua đêm,,6,overallOverview.a65
下單時間,下单时间,Order Time,,เวลาสั่งซื้อ,,4,注文時間,,4,주문 시간,,5,Thời gian chốt Đơn,,9,overallOverview.a66
成交時間,成交时间,Transaction Time,,เวลาทำรายการ,,4,トランザクション時間,,4,거래 시간,,5,Thời gian giao dịch thành công,,9,overallOverview.a67
平倉時間,平仓时间,Closing Time,,เวลาปิด,,4,ポジショニング時間,,4,포지셔닝 시간,,5,Thời gian vị thế thanh lý,,9,"overallOverview.a68,riskWarning.closingTime"
止盈,止盈,Take Profit,,Take Profit,,2,利益を上げます,,2,이윤을 내다,,2,Chốt lãi,,4,overallOverview.a70
止損,止损,Stop Loss,,Stop Loss,,2,停止損失,,2,손실을 중지하십시오,,2,Chốt lỗ,,4,overallOverview.a71
開倉價格,开仓价格,Open Price,,ราคาเปิด,,4,オープニング価格,,4,오프닝 가격,,5,Giá mất một vị trí,,9,overallOverview.a72
交易數量 (手),交易数量 (手),Quantity(Lot(s)),,ปริมาณธุรกรรม (ล็อต),,8,取引数量（手）,,7,거래 수량 (손),,9,Số lượng giao dịch (lượt),,15,overallOverview.a74
國家,国家,Country,,ประเทศ,,2,国家,,2,국가,,2,Quốc gia,,4,"overallOverview.a76,userManagement.a18,depositWithdrawalManagement.a11,riskWarning.country"
類型,类型,Type,,ประเภท,,2,タイプ,,2,유형,,2,Loại hình,,4,overallOverview.a80
代號,代号,Symbol,,เครื่องหมาย,,2,コード,,2,암호,,2,Mã số,,4,"overallOverview.a82,transactionItemList.a5"
保證金,保证金,Margin,,มาร์จิ้น,,3,デポジット,,3,보증금,,4,Tiền bảo lãnh,,6,overallOverview.a87
整體總覽,,,,,,4,,,4,,,5,,,9,overallOverview.a88
交易品項列表,,,,,,7,,,6,,,8,,,13,"transactionItemList.a1,paramManagement.tradingList"
品名解釋,,,,,,4,,,4,,,5,,,9,transactionItemList.a4
交易所,,,,,,3,,,3,,,4,,,6,transactionItemList.a6
當前槓桿,当前杠杆,Current Leverage,,เลเวอเรจปัจจุบัน,,4,現在のレバレッジ,,4,현재 레버리지,,5,Đòn bẩy hiện tại,,9,transactionItemList.a9
點差(買),,,,,,5,,,5,,,7,,,11,transactionItemList.a11
點差(賣),,,,,,5,,,5,,,7,,,11,transactionItemList.a12
滑價,,,,,,2,,,2,,,2,,,4,transactionItemList.a13
單邊最大數量,,,,,,7,,,6,,,8,,,13,transactionItemList.a14
開始時間,开始时间,Start Time,,เวลาเริ่มต้น,,4,開始時間,,4,시작 시간,,5,Thời gian bắt đầu,,9,transactionItemList.a15
到期時間,,,,,,4,,,4,,,5,,,9,transactionItemList.a16
交易時段,交易时段,Trading Session,,เวลาการซื้อขาย,,4,トランザクション期間,,4,거래 기간,,5,Thời điểm giao dịch,,9,transactionItemList.a17
契約規模,契约规模,Contract Size,,ขนาดสัญญา,,4,契約サイズ,,4,계약 규모,,5,Quy mô Hợp đồng,,9,transactionItemList.a18
最小波動單位,,,,,,7,,,6,,,8,,,13,transactionItemList.a19
最小單筆交易數量,,,,,,9,,,8,,,11,,,18,transactionItemList.a20
最大單筆交易數量,,,,,,9,,,8,,,11,,,18,transactionItemList.a21
最大總持倉數量,最大总持仓数量,Maximum Open Position,,ตำแหน่งเปิดสูงสุด,,8,位置の最大総保持,,7,최대 총 포지션 보유,,9,Tổng số lượng vị thế để ngõ tối đa,,15,transactionItemList.a22
買入隔夜費,,,,,,5,,,5,,,7,,,11,transactionItemList.a23
賣出隔夜費,,,,,,5,,,5,,,7,,,11,transactionItemList.a24
隔夜費收取時間,,,,,,8,,,7,,,9,,,15,transactionItemList.a25
掛單距離,,,,,,4,,,4,,,5,,,9,transactionItemList.a26
停止交易,,,,,,4,,,4,,,5,,,9,transactionItemList.a27
可交易,,,,,,3,,,3,,,4,,,6,transactionItemList.a28
關閉交易,,,,,,4,,,4,,,5,,,9,transactionItemList.a29
週,,,,,,1,,,1,,,1,,,2,"transactionItemList.a30,depositWithdrawalManagement.a94"
重啟交易,,,,,,4,,,4,,,5,,,9,transactionItemList.a31
合約強平,合约强平,Contract Forced Liquidation,,สัญญาบังคับชำระบัญชี,,4,契約Qiangping,,4,계약 Qiangping,,5,Cưỡng chế thanh lý theo Hợp đồng,,9,transactionItemList.a32
請選擇標籤,,,,,,5,,,5,,,7,,,11,transactionItemList.a33
請選擇狀態,请选择状态,Please select a status.,,โปรดเลือกสถานะ,,5,ステータスを選択してください,,5,상태를 선택하십시오,,7,Vui lòng chọn trạng thái,,11,transactionItemList.a34
請選擇槓桿,,,,,,5,,,5,,,7,,,11,transactionItemList.a35
請選擇星期,,,,,,5,,,5,,,7,,,11,transactionItemList.a36
起始時間,,,,,,4,,,4,,,5,,,9,transactionItemList.a37
結束時間,结束时间,End Time,,เวลาสิ้นสุด,,4,終了時間,,4,종료 시간,,5,Thời gian kết thúc,,9,transactionItemList.a38
"停止交易將會使新的交易只能使用掛單方式下單，目前已經持倉的交易部會受到影響。\n\n
確定要停止交易嗎?",,,,,,60,,,51,,,71,,,114,transactionItemList.a39
"關閉交易會使該商品從前台下架，無法被使用者下單。\n\n
目前已經持倉的交易將會全數被強平。\n\n
確定要關閉交易嗎?",,,,,,68,,,58,,,81,,,130,transactionItemList.a40
"重啟交易後，該商品將可以再次被使用者下單。\n\n
請檢查品項設定無誤後再重啟交易。\n\n
確定要重啟交易嗎?",,,,,,63,,,54,,,75,,,121,transactionItemList.a41
"因更換合約，要把全部持倉都清空\n\n
可能會導致用戶的交易受到影響。\n\n
確定要合約強平嗎?",,,,,,55,,,47,,,65,,,105,transactionItemList.a42
確定要刪除產品嗎?,,,,,,10,,,9,,,12,,,20,transactionItemList.a43
24小時可出金次數,24小时可出金次数,Withdrawal times within 24 Hours,,จำนวนครั้งที่สามารถถอนเงินภายใน 24 ชั่วโมง,,10,金は24時間で発行できます,,9,금은 24 시간 안에 발행 될 수 있습니다,,12,Số lần có thể xuất tiền 24 giờ,,20,"userManagement.a95,depositWithdrawalManagement.a89"
24小時免費出金次數,24小时免费出金次数,Free Withdrawal times within 24 Hours,,จำนวนครั้งที่สามารถถอนเงินฟรีภายใน 24 ชั่วโมง,,11,24時間の無料の金,,10,24 시간의 무료 금,,14,Số lần xuất tiền miễn phí 24 giờ,,22,"userManagement.a94,depositWithdrawalManagement.a90"
用戶管理,,,,,,4,,,4,,,5,,,9,"userManagement.a1,setting.userManagement"
用戶列表,,,,,,4,,,4,,,5,,,9,userManagement.a2
出金帳戶狀態,,,,,,7,,,6,,,8,,,13,userManagement.a3
重設密碼,,,,,,4,,,4,,,5,,,9,"userManagement.a4,setting.resetPassword"
封鎖用戶,,,,,,4,,,4,,,5,,,9,"userManagement.a5,riskWarning.blockUser"
通過審核,,,,,,4,,,4,,,5,,,9,userManagement.a6
已驗證,,,,,,3,,,3,,,4,,,6,userManagement.a7
未審核,,,,,,3,,,3,,,4,,,6,userManagement.a8
已封鎖,,,,,,3,,,3,,,4,,,6,userManagement.a10
未過審,未过审,Not approved,,ไม่ผ่านการอนุมัติ,,3,試用過剰ではありません,,3,과도한 재판이 아닙니다,,4,Chưa thẩm hạch,,6,userManagement.a11
客戶資料,,,,,,4,,,4,,,5,,,9,userManagement.a12
用戶資料,,,,,,4,,,4,,,5,,,9,userManagement.a13
交易詳情,,,,,,4,,,4,,,5,,,9,userManagement.a14
交易設定,交易设定,Transaction Settings,,การตั้งค่าการซื้อขาย,,4,トランザクション設定,,4,거래 설정,,5,Thiết lập giao dịch,,9,userManagement.a15
所屬層級,,,,,,4,,,4,,,5,,,9,"userManagement.a22,depositWithdrawalManagement.a74"
註冊來源,,,,,,4,,,4,,,5,,,9,userManagement.a24
邀請碼,,,,,,3,,,3,,,4,,,6,userManagement.a26
已邀請用戶數,,,,,,7,,,6,,,8,,,13,userManagement.a27
標籤列表,,,,,,4,,,4,,,5,,,9,"userManagement.a28,userManagement.a86"
英文姓名,英文姓名,English Name,,ชื่อภาษาอังกฤษ,,4,英語名,,4,영어 이름,,5,Họ tên tiếng Anh,,9,userManagement.a29
證件號碼,证件号码,,,,,4,,,4,,,5,,,9,userManagement.a30
職業,职业,Occupation,,อาชีพ,,2,職業,,2,직업,,2,Nghề nghiệp,,4,userManagement.a31
地址,地址,Address,,ที่อยู่,,2,住所,,2,주소,,2,Địa chỉ,,4,userManagement.a32
就業狀態,就业状态,Employment Status,,สถานะการจ้างงาน,,4,雇用状況,,4,고용 상태,,5,Trạng thái việc làm,,9,userManagement.a33
收入,收入,Income,,รายได้,,2,所得,,2,소득,,2,Thu nhập,,4,userManagement.a34
總財富,总财富,Gross Wealth,,ความมั่งคั่งทั้งหมด,,3,一般的な富,,3,일반적인 부,,4,Tổng tài sản,,6,userManagement.a35
收入與財富來源,收入与财富来源,Sources of Income and Wealth,,แหล่งรายได้และความมั่งคั่ง,,8,収入と富の源,,7,소득과 부의 근원,,9,Nguồn thu nhập và tài sản,,15,userManagement.a36
開戶原因,开户原因,Reason for Opening Account,,เหตุผลในการเปิดบัญชี,,4,原因,,4,원인,,5,Nguyên nhân mở tài khoản,,9,userManagement.a37
交易經驗,交易经验,Experience in Trading,,ประสบการณ์การเทรด,,4,取引経験,,4,거래 경험,,5,Kinh nghiệm giao dịch,,9,userManagement.a38
開戶時間,,,,,,4,,,4,,,5,,,9,userManagement.a39
身份證明文件正面,,,,,,9,,,8,,,11,,,18,userManagement.a40
身份證明文件反面,,,,,,9,,,8,,,11,,,18,userManagement.a41
身份證明文件2,,,,,,8,,,7,,,9,,,15,userManagement.a42
手持證件自拍,,,,,,7,,,6,,,8,,,13,userManagement.a43
種類,,,,,,2,,,2,,,2,,,4,userManagement.a44
銀行代碼,,,,,,4,,,4,,,5,,,9,"userManagement.a45,depositWithdrawalManagement.a102"
帳號,帐号,Account Number,,หมายเลขบัญชี,,2,口座番号,,2,계좌 번호,,2,Số tài khoản,,4,userManagement.a46
戶名,,,,,,2,,,2,,,2,,,4,userManagement.a47
附加檔案,,,,,,4,,,4,,,5,,,9,userManagement.a48
鎖定,,,,,,2,,,2,,,2,,,4,"userManagement.a50,depositWithdrawalManagement.a23"
審核駁回,,,,,,4,,,4,,,5,,,9,userManagement.a51
編輯用戶資料,,,,,,7,,,6,,,8,,,13,userManagement.a52
確定要將這用戶駁回審核?,,,,,,14,,,12,,,16,,,27,userManagement.a53
確定要將這用戶通過審核?,,,,,,14,,,12,,,16,,,27,userManagement.a54
解除封鎖,,,,,,4,,,4,,,5,,,9,"userManagement.a56,setting.unblock"
"確定要解除封鎖該用戶嗎？\n\n
解除封鎖用戶後，該用戶將可以重新登入並進行交易",,,,,,46,,,39,,,54,,,87,userManagement.a57
"重置該用戶的密碼，系統將會主動發送一封重置密碼確認信件，引導用戶重新設定新密碼。\n\n
重設密碼後，原本的密碼將無法使用，確定要重設密碼嗎？",,,,,,82,,,70,,,98,,,157,userManagement.a58
"確定要封鎖該用戶嗎？
封鎖用戶後，該用戶將無法登入、並進行交易，直到您再次解除封鎖。",,,,,,48,,,41,,,57,,,92,userManagement.a59
封鎖,,,,,,2,,,2,,,2,,,4,"userManagement.a60,setting.blockade,riskWarning.block"
確認審核,,,,,,4,,,4,,,5,,,9,userManagement.a61
通過出金帳戶,,,,,,7,,,6,,,8,,,13,userManagement.a62
確定要通過這用戶出金帳戶審核？,,,,,,17,,,15,,,21,,,33,userManagement.a63
拒絕出金帳戶,,,,,,7,,,6,,,8,,,13,userManagement.a64
"拒絕該帳戶的審核，將會導致用戶無法使用該帳戶出金。如用戶需要使用該帳戶出金，則需再次申請。\n\n
請填寫拒絕的原因:",,,,,,68,,,58,,,81,,,130,userManagement.a65
請輸入拒絕原因,,,,,,8,,,7,,,9,,,15,userManagement.a66
拒絕審核,,,,,,4,,,4,,,5,,,9,userManagement.a67
刪除出金帳戶,,,,,,7,,,6,,,8,,,13,"userManagement.a68,setting.deleteWithdrawalAccount"
"刪除該帳戶，將會導致用戶無法使用該帳戶出金。如用戶需要使用該帳戶出金，則需再次申請。\n\n
確定要刪除出金帳戶嗎？",,,,,,67,,,57,,,79,,,128,userManagement.a69
出金帳戶附加檔案,,,,,,9,,,8,,,11,,,18,userManagement.a71
交易細節,,,,,,4,,,4,,,5,,,9,userManagement.a73
浮動盈虧,浮动盈亏,Unrealised P/L,,กำไร/ขาดทุนลอยตัว,,4,浮かぶ利益と損失,,4,떠 다니는 이익과 손실,,5,Lãi lỗ biến đổi,,9,userManagement.a74
佔用保證金,,,,,,5,,,5,,,7,,,11,userManagement.a75
佔用保證金(含盈虧),,,,,,11,,,10,,,14,,,22,userManagement.a76
可用保證金,,,,,,5,,,5,,,7,,,11,userManagement.a77
入金總額,入金总额,Total Deposit,,ยอดเงินฝาก,,4,合計金額,,4,총 금액,,5,Tổng số nhập tiền,,9,userManagement.a78
出金總額,出金总额,Total Withdrawal,,ยอดถอนทั้งหมด,,4,金の総量,,4,총 금액,,5,Tổng số xuất tiền,,9,userManagement.a79
資金淨值,,,,,,4,,,4,,,5,,,9,userManagement.a80
延遲時間,,,,,,4,,,4,,,5,,,9,userManagement.a81
點差及手續費設定,,,,,,9,,,8,,,11,,,18,userManagement.a83
用戶層級列表,,,,,,7,,,6,,,8,,,13,userManagement.a85
出入金相關,,,,,,5,,,5,,,7,,,11,userManagement.a87
首次最低入金額度,,,,,,9,,,8,,,11,,,18,"userManagement.a88,depositWithdrawalManagement.a63"
最低入金額度,,,,,,7,,,6,,,8,,,13,"userManagement.a89,depositWithdrawalManagement.a64"
人工審核額度,,,,,,7,,,6,,,8,,,13,"userManagement.a90,depositWithdrawalManagement.a65"
入金手續費,,,,,,5,,,5,,,7,,,11,userManagement.a92
單筆最低取款金額,,,,,,9,,,8,,,11,,,18,"userManagement.a93,depositWithdrawalManagement.a91"
出金手續費,,,,,,5,,,5,,,7,,,11,userManagement.a97
強制平倉設定,,,,,,7,,,6,,,8,,,13,userManagement.a98
平日收盤前強平比例,,,,,,10,,,9,,,12,,,20,"userManagement.a99,paramManagement.weekdayMarketCloseRate"
假日收盤前強平比例,,,,,,10,,,9,,,12,,,20,"userManagement.a100,paramManagement.holidayCloseRate"
平時強平比例,,,,,,7,,,6,,,8,,,13,"userManagement.a101,paramManagement.weekdayCloseRate"
即將平倉通知比例,,,,,,9,,,8,,,11,,,18,"userManagement.a102,paramManagement.ClosePositionRate"
延遲下單時間,,,,,,7,,,6,,,8,,,13,userManagement.a104
單筆交易手續費,,,,,,8,,,7,,,9,,,15,userManagement.a105
高於,,,,,,2,,,2,,,2,,,4,userManagement.a106
手續費 ,,,,,,3,,,3,,,4,,,6,userManagement.a107
如欲調整比例及數字，請前往個別頁面設定。,,,,,,23,,,20,,,28,,,45,userManagement.a108
查看更多,,,,,,4,,,4,,,5,,,9,userManagement.a109
標籤名稱,,,,,,4,,,4,,,5,,,9,userManagement.a110
目前貼標人數,,,,,,7,,,6,,,8,,,13,userManagement.a111
新增時間,,,,,,4,,,4,,,5,,,9,userManagement.a112
選擇入金方式(可複選),,,,,,12,,,11,,,15,,,24,userManagement.a114
選擇出金方式(可複選),,,,,,12,,,11,,,15,,,24,userManagement.a115
已成功解除封鎖該用戶,,,,,,11,,,10,,,14,,,22,userManagement.a116
人工補入,,,,,,4,,,4,,,5,,,9,"setting.manualFillIn,depositWithdrawalManagement.a25"
入金方式列表,,,,,,7,,,6,,,8,,,13,"setting.depositMethodList,depositWithdrawalManagement.a59"
入金額度設定,,,,,,7,,,6,,,8,,,13,"setting.depositAmountSetting,depositWithdrawalManagement.a61"
出金方式列表,,,,,,7,,,6,,,8,,,13,"setting.withdrawalMethodList,depositWithdrawalManagement.a86"
一般設定,,,,,,4,,,4,,,5,,,9,setting.title
後台人員列表,,,,,,7,,,6,,,8,,,13,setting.staffList
權限群組設定,,,,,,7,,,6,,,8,,,13,setting.permissionGroupSettings
操作記錄,,,,,,4,,,4,,,5,,,9,setting.OperationRecord
多國語言設定,,,,,,7,,,6,,,8,,,13,setting.languageSettings
姓名,,,,,,2,,,2,,,2,,,4,setting.name
權限群組,,,,,,4,,,4,,,5,,,9,setting.permissionGroup
Email,Email,Email,,อีเมล,,5,Eメール,,5,이메일,,7,Email,,11,setting.email
最近登入時間,,,,,,7,,,6,,,8,,,13,setting.lastLoginTime
描述,,,,,,2,,,2,,,2,,,4,setting.description
禁止登入,,,,,,4,,,4,,,5,,,9,setting.disableLogin
恢復登入,,,,,,4,,,4,,,5,,,9,setting.restoreLogin
編輯權限角色,,,,,,7,,,6,,,8,,,13,setting.editPermissionRoles
新增權限角色,,,,,,7,,,6,,,8,,,13,setting.addPermissionRole
已送出邀請信件，請於信箱內確認,,,,,,17,,,15,,,21,,,33,setting.sendEMailSuccess
可登入,,,,,,3,,,3,,,4,,,6,setting.canLogin
未啟用,,,,,,3,,,3,,,4,,,6,setting.disabled
