真實姓名,真实姓名,Real Name,,ชื่อจริง,,,,,,,,,Họ tên thực,Họ tên thực,,"overallOverview.a77,userManagement.a17,depositWithdrawalManagement.a7,riskWarning.realName, transactionItemList.b2"
手機號碼,手机号码,Mobile Number,,เบอร์มือถือ,,,,,,,,,Số điện thoại di động,Số điện thoại di động,,"overallOverview.a78,userManagement.a20,depositWithdrawalManagement.a8"
備註,备注,Notes,,หมายเหตุ,,,,,,,,,Ghi chú,Ghi chú,,"overallOverview.a86,userManagement.a49,depositWithdrawalManagement.a15"
出金方式,出金方式,Withdrawal Method,,วิธีการถอนเงิน,,,,,,,,,Phương thức xuất tiền,Phương thức xuất tiền,,"overallOverview.a75,userManagement.a96,depositWithdrawalManagement.a41"
總覽,总览,Overview,,ภาพรวม,,,,,,,,,Tổng quan,Tổng quan,,"overallOverview.a1,userManagement.a72"
通知中心,,Notification center,,,,,,,,,,,,,,overallOverview.a2
待審核入金,,Pending deposits,,,,,,,,,,,,,,overallOverview.a3
待審核出金,,Pending withdrawals,,,,,,,,,,,,,,overallOverview.a4
待審核身份認證,,Identity verification in pending status,,,,,,,,,,,,,,"overallOverview.a5,setting.IdVerificationPending"
待審核出金帳戶,,Withdrawal account in pending status,,,,,,,,,,,,,,"overallOverview.a6,setting.pendingAuditWithdrawalAccount"
風險警告,,Risk warning,,,,,,,,,,,,,,"overallOverview.a7,riskWarning.title"
入金狀態,,Deposit status,,,,,,,,,,,,,,"overallOverview.a8,depositWithdrawalManagement.a5"
用戶編號,,Account number,,,,,,,,,,,,,,"overallOverview.a9,userManagement.a16,depositWithdrawalManagement.a6,riskWarning.userID"
入金金額(美金),,Deposit amount (in USD),,,,,,,,,,,,,,"overallOverview.a10,depositWithdrawalManagement.a9"
申請時間,,Time of application,,,,,,,,,,,,,,"overallOverview.a12,depositWithdrawalManagement.a12"
動作,,Action,,,,,,,,,,,,,,"overallOverview.a13,userManagement.a113,setting.action,depositWithdrawalManagement.a73,riskWarning.action,paramManagement.action"
待審核,,Review pending,,,,,,,,,,,,,,"overallOverview.a14,userManagement.a9"
出金狀態,,Withdrawal status,,,,,,,,,,,,,,"overallOverview.a15,depositWithdrawalManagement.a39"
出金金額(美金),,Withdrawal amount (in USD),,,,,,,,,,,,,,"overallOverview.a16,depositWithdrawalManagement.a40"
其他資訊,,Other information,,,,,,,,,,,,,,"overallOverview.a17,depositWithdrawalManagement.a42"
電子郵件,,Email address,,,,,,,,,,,,,,"overallOverview.a18,userManagement.a21"
用戶層級,,User level,,,,,,,,,,,,,,"overallOverview.a19,userManagement.a84,setting.userLevel"
無資料,,No information,,,,,,,,,,,,,,"overallOverview.a21,depositWithdrawalManagement.a27,common.empty"
刷新倒數{參數}秒,,Refreshing in {parameters} seconds,,,,,,,,,,,,,,overallOverview.a22
總表,,Table,,,,,,,,,,,,,,overallOverview.a23
委託概況,,Order overview,,,,,,,,,,,,,,"overallOverview.a24,setting.commissionOverview"
持倉概況,,Open position overview,,,,,,,,,,,,,,"overallOverview.a25,setting.positionOverview"
平倉概況,,Close position overview,,,,,,,,,,,,,,overallOverview.a26
出入金概況,,Overview of deposits and withdrawals,,,,,,,,,,,,,,overallOverview.a27
總委託單數,,Total number of orders,,,,,,,,,,,,,,overallOverview.a28
最新委託,,Latest orders,,,,,,,,,,,,,,overallOverview.a29
總單數,,Total orders,,,,,,,,,,,,,,overallOverview.a30
總持倉數量,,Total open positions,,,,,,,,,,,,,,overallOverview.a31
平均盈虧,,Average profits and losses,,,,,,,,,,,,,,overallOverview.a32
最新開倉,,Latest open positions,,,,,,,,,,,,,,overallOverview.a33
平倉單數,,Number of close positions,,,,,,,,,,,,,,overallOverview.a34
總平倉數量(手),,Total number of close positions (lot),,,,,,,,,,,,,,overallOverview.a35
最新平倉,,Latest close positions,,,,,,,,,,,,,,overallOverview.a36
申請筆數,,Number of applications,,,,,,,,,,,,,,overallOverview.a37
審核筆數,,Number of reviews,,,,,,,,,,,,,,overallOverview.a38
總金額,,Total amount,,,,,,,,,,,,,,overallOverview.a39
最新申請,,Latest application,,,,,,,,,,,,,,overallOverview.a40
交易報表,,Trade reports,,,,,,,,,,,,,,"overallOverview.a41,setting.transactionStatement"
委託報表,,Order reports,,,,,,,,,,,,,,overallOverview.a42
持倉列表,,Open position list,,,,,,,,,,,,,,"overallOverview.a43,setting.positionList"
平倉列表,,Close position list,,,,,,,,,,,,,,overallOverview.a44
出入金報表,,Report of withdrawals and deposits,,,,,,,,,,,,,,"overallOverview.a45,setting.depositWithdrawalReport"
委託價格,,Order price,,,,,,,,,,,,,,overallOverview.a46
委託期限,,Order deadline,,,,,,,,,,,,,,overallOverview.a47
委託時間,,Order time,,,,,,,,,,,,,,overallOverview.a48
客戶端IP,,Client IP,,,,,,,,,,,,,,overallOverview.a49
現在價格,,Current price,,,,,,,,,,,,,,overallOverview.a50
目前盈虧,,Current profit and loss,,,,,,,,,,,,,,overallOverview.a51
強制平倉,,Forced liquidation,,,,,,,,,,,,,,overallOverview.a52
"強制平倉後，該使用者會依照當前的價格進行結算，可能會影響到使用者
的交易內容，且該行為無法復原。\n\n
確定要強制平倉該使用者的持倉嗎？",,"After forced liquidation, positions of the user will be settled at current price, which may affect the user’s trading. In addition, this action cannot be undone. \n\n Are you sure you want to force liquidate the user's open positions?",,,,,,,,,,,,,,overallOverview.a53
開倉時間,开仓时间,Opening Time,,เวลาเปิด,,,,,,,,,Thời gian mất một vị trí,Thời gian mất một vị trí,,"overallOverview.a54,riskWarning.openingTime"
更新時間,更新时间,Update Time,,อัพเดทเวลา,,,,,,,,,Thời gian cập nhật,Thời gian cập nhật,,overallOverview.a55
更新細節,,Update details,,,,,,,,,,,,,,overallOverview.a57
調整止{參數}價格 由{參數}調整成{參數},,Adjust to {parameters} price Adjust from {parameters} to {parameters},翻譯團隊認為「調整止」應該是「調整至」，還請您確認，謝謝,,,,,,,,,,,,,overallOverview.a58
平倉類型,,Types of close positions,,,,,,,,,,,,,,overallOverview.a59
成交價格,成交价格,Transaction Price,,ราคาซื้อขาย,,,,,,,,,Giá cả giao dịch,Giá cả giao dịch,,overallOverview.a60
平倉價格,平仓价格,Closing Price,,ราคาปิด,,,,,,,,,Giá vị thế thanh lý,Giá vị thế thanh lý,,overallOverview.a61
總盈虧,总盈亏,Total Profit or Loss,,ค่ากำไรหรือขาดทุนทั้งหมด,,,,,,,,,Tổng lãi lỗ,Tổng lãi lỗ,,overallOverview.a62
佣金,,Commission,,,,,,,,,,,,,,overallOverview.a63
利息,,Interest,,,,,,,,,,,,,,overallOverview.a64
隔夜費,隔夜费,Overnight Funding,,ค่าธรรมเนียมค้างคืน,,,,,,,,,Phí qua đêm,Phí qua đêm,,overallOverview.a65
下單時間,下单时间,Order Time,,เวลาสั่งซื้อ,,,,,,,,,Thời gian chốt Đơn,Thời gian chốt Đơn,,overallOverview.a66
成交時間,成交时间,Transaction Time,,เวลาทำรายการ,,,,,,,,,Thời gian giao dịch thành công,Thời gian giao dịch thành công,,overallOverview.a67
平倉時間,平仓时间,Closing Time,,เวลาปิด,,,,,,,,,Thời gian vị thế thanh lý,Thời gian vị thế thanh lý,,"overallOverview.a68,riskWarning.closingTime"
止盈,止盈,Take Profit,,Take Profit,,,,,,,,,Chốt lãi,Chốt lãi,,overallOverview.a70
止損,止损,Stop Loss,,Stop Loss,,,,,,,,,Chốt lỗ,Chốt lỗ,,overallOverview.a71
開倉價格,开仓价格,Open Price,,ราคาเปิด,,,,,,,,,Giá mất một vị trí,Giá mất một vị trí,,overallOverview.a72
交易數量 (手),交易数量 (手),Quantity(Lot(s)),,ปริมาณธุรกรรม (ล็อต),,,,,,,,,Số lượng giao dịch (lượt),Số lượng giao dịch (lượt),,overallOverview.a74
國家,国家,Country,,ประเทศ,,,,,,,,,Quốc gia,Quốc gia,,"overallOverview.a76,userManagement.a18,depositWithdrawalManagement.a11,riskWarning.country, transactionItemList.b1"
類型,类型,Type,,ประเภท,,,,,,,,,Loại hình,Loại hình,,overallOverview.a80
代號,代号,Symbol,,เครื่องหมาย,,,,,,,,,Mã số,Mã số,,"overallOverview.a82,transactionItemList.a5"
保證金,保证金,Margin,,มาร์จิ้น,,,,,,,,,Tiền bảo lãnh,Tiền bảo lãnh,,overallOverview.a87
整體總覽,,Overview,,,,,,,,,,,,,,overallOverview.a88
交易品項列表,,List of products,,,,,,,,,,,,,,"transactionItemList.a1,paramManagement.tradingList"
品名解釋,,Product description,,,,,,,,,,,,,,transactionItemList.a4
交易所,,Futures exchanges,,,,,,,,,,,,,,transactionItemList.a6
當前槓桿,当前杠杆,Current Leverage,,เลเวอเรจปัจจุบัน,,,,,,,,,Đòn bẩy hiện tại,Đòn bẩy hiện tại,,transactionItemList.a9
點差(買),,Spread (Bid),,,,,,,,,,,,,,transactionItemList.a11
點差(賣),,Spread (Ask),,,,,,,,,,,,,,transactionItemList.a12
滑價,,Slippage,,,,,,,,,,,,,,transactionItemList.a13
單邊最大數量,,Position limit,,,,,,,,,,,,,,transactionItemList.a14
開始時間,开始时间,Start Time,,เวลาเริ่มต้น,,,,,,,,,Thời gian bắt đầu,Thời gian bắt đầu,,transactionItemList.a15
到期時間,,Deadline,,,,,,,,,,,,,,transactionItemList.a16
交易時段,交易时段,Trading Session,,เวลาการซื้อขาย,,,,,,,,,Thời điểm giao dịch,Thời điểm giao dịch,,transactionItemList.a17
契約規模,契约规模,Contract Size,,ขนาดสัญญา,,,,,,,,,Quy mô Hợp đồng,Quy mô Hợp đồng,,transactionItemList.a18
最小波動單位,,Tick,,,,,,,,,,,,,,transactionItemList.a19
最小單筆交易數量,,Minimum order quantity,,,,,,,,,,,,,,transactionItemList.a20
最大單筆交易數量,,Maximum order quantity,,,,,,,,,,,,,,transactionItemList.a21
最大總持倉數量,最大总持仓数量,Maximum Open Position,,ตำแหน่งเปิดสูงสุด,,,,,,,,,Tổng số lượng vị thế để ngõ tối đa,Tổng số lượng vị thế để ngõ tối đa,,transactionItemList.a22
買入隔夜費,,Long position overnight fee,,,,,,,,,,,,,,transactionItemList.a23
賣出隔夜費,,Short position overnight fee,,,,,,,,,,,,,,transactionItemList.a24
隔夜費收取時間,,Charging time for overnight fee,,,,,,,,,,,,,,transactionItemList.a25
掛單距離,,Distance for pending orders,,,,,,,,,,,,,,transactionItemList.a26
停止交易,,Halt trading,,,,,,,,,,,,,,transactionItemList.a27
可交易,,Tradable,,,,,,,,,,,,,,transactionItemList.a28
關閉交易,,Close trading,,,,,,,,,,,,,,transactionItemList.a29
週,,Week,,,,,,,,,,,,,,"transactionItemList.a30,depositWithdrawalManagement.a94"
重啟交易,,Resume trading,,,,,,,,,,,,,,transactionItemList.a31
合約強平,合约强平,Contract Forced Liquidation,,สัญญาบังคับชำระบัญชี,,,,,,,,,Cưỡng chế thanh lý theo Hợp đồng,Cưỡng chế thanh lý theo Hợp đồng,,transactionItemList.a32
請選擇標籤,,Select tag,,,,,,,,,,,,,,transactionItemList.a33
請選擇狀態,请选择状态,Please select a status.,,โปรดเลือกสถานะ,,,,,,,,,Vui lòng chọn trạng thái,Vui lòng chọn trạng thái,,transactionItemList.a34
請選擇槓桿,,Select leverage,,,,,,,,,,,,,,transactionItemList.a35
請選擇星期,,Select day of week,,,,,,,,,,,,,,transactionItemList.a36
起始時間,,Start date,,,,,,,,,,,,,,transactionItemList.a37
結束時間,结束时间,End Time,,เวลาสิ้นสุด,,,,,,,,,Thời gian kết thúc,Thời gian kết thúc,,transactionItemList.a38
"停止交易將會使新的交易只能使用掛單方式下單，目前已經持倉的交易部會受到影響。\n\n
確定要停止交易嗎?",,"Upon trading halt, any new trade can only be placed with pending orders. The existing open positions will not be affected. Are you sure you want to halt the trade?",,,,,,,,,,,,,,transactionItemList.a39
"關閉交易會使該商品從前台下架，無法被使用者下單。\n\n
目前已經持倉的交易將會全數被強平。\n\n
確定要關閉交易嗎?",,"Closing trade will cause the product to be removed from the front end, so users cannot place orders on the product. All open positions will be forced to liquidate. Are you sure you want to close this trade?",,,,,,,,,,,,,,transactionItemList.a40
"重啟交易後，該商品將可以再次被使用者下單。\n\n
請檢查品項設定無誤後再重啟交易。\n\n
確定要重啟交易嗎?",,"After resuming the trade, users will be able to place an order on the product again. \n\n Please make sure that all settings are correct before resuming the trade. Are you sure you want to resume the trade?",,,,,,,,,,,,,,transactionItemList.a41
"因更換合約，要把全部持倉都清空\n\n
可能會導致用戶的交易受到影響。\n\n
確定要合約強平嗎?",,"Due to changes in futures contracts, all open positions need to be liquidated. The user's trades may be affected. Are you sure you want to force liquidate?",,,,,,,,,,,,,,transactionItemList.a42
確定要刪除產品嗎?,,Are you sure you want to delete this product?,,,,,,,,,,,,,,transactionItemList.a43
24小時可出金次數,24小时可出金次数,Withdrawal times within 24 Hours,,จำนวนครั้งที่สามารถถอนเงินภายใน 24 ชั่วโมง,,,,,,,,,Số lần có thể xuất tiền 24 giờ,Số lần có thể xuất tiền 24 giờ,,"userManagement.a95,depositWithdrawalManagement.a89"
24小時免費出金次數,24小时免费出金次数,Free Withdrawal times within 24 Hours,,จำนวนครั้งที่สามารถถอนเงินฟรีภายใน 24 ชั่วโมง,,,,,,,,,Số lần xuất tiền miễn phí 24 giờ,Số lần xuất tiền miễn phí 24 giờ,,"userManagement.a94,depositWithdrawalManagement.a90"
用戶管理,,Manage user,,,,,,,,,,,,,,"userManagement.a1,setting.userManagement"
用戶列表,,User list,,,,,,,,,,,,,,userManagement.a2
出金帳戶狀態,,Withdrawal account status,,,,,,,,,,,,,,userManagement.a3
重設密碼,,Reset password,,,,,,,,,,,,,,"userManagement.a4,setting.resetPassword"
封鎖用戶,,Block user,,,,,,,,,,,,,,"userManagement.a5,riskWarning.blockUser"
通過審核,,Review approved,,,,,,,,,,,,,,userManagement.a6
已驗證,,Verified,,,,,,,,,,,,,,userManagement.a7
未審核,,Unreviewed,,,,,,,,,,,,,,userManagement.a8
已封鎖,,Blocked,,,,,,,,,,,,,,userManagement.a10
未過審,未过审,Not approved,,ไม่ผ่านการอนุมัติ,,,,,,,,,Chưa thẩm hạch,Chưa thẩm hạch,,userManagement.a11
客戶資料,,Client information,,,,,,,,,,,,,,userManagement.a12
用戶資料,,User information,,,,,,,,,,,,,,userManagement.a13
交易詳情,,Transaction details,,,,,,,,,,,,,,userManagement.a14
交易設定,交易设定,Transaction Settings,,การตั้งค่าการซื้อขาย,,,,,,,,,Thiết lập giao dịch,Thiết lập giao dịch,,userManagement.a15
所屬層級,,Level,,,,,,,,,,,,,,"userManagement.a22,depositWithdrawalManagement.a74"
註冊來源,,Source of registration,,,,,,,,,,,,,,userManagement.a24
邀請碼,,Invitation code,,,,,,,,,,,,,,userManagement.a26
已邀請用戶數,,Number of invited users,,,,,,,,,,,,,,userManagement.a27
標籤列表,,Tag list,,,,,,,,,,,,,,"userManagement.a28,userManagement.a86"
英文姓名,英文姓名,English Name,,ชื่อภาษาอังกฤษ,,,,,,,,,Họ tên tiếng Anh,Họ tên tiếng Anh,,"userManagement.a29, transactionItemList.b3"
證件號碼,证件号码,ID card number,,,,,,,,,,,,,,userManagement.a30
職業,职业,Occupation,,อาชีพ,,,,,,,,,Nghề nghiệp,Nghề nghiệp,,"userManagement.a31,transactionItemList.b6"
地址,地址,Address,,ที่อยู่,,,,,,,,,Địa chỉ,Địa chỉ,,"userManagement.a32,transactionItemList.b4"
就業狀態,就业状态,Employment Status,,สถานะการจ้างงาน,,,,,,,,,Trạng thái việc làm,Trạng thái việc làm,,"userManagement.a33, transactionItemList.b7"
收入,收入,Income,,รายได้,,,,,,,,,Thu nhập,Thu nhập,,"userManagement.a34, transactionItemList.b10"
總財富,总财富,Gross Wealth,,ความมั่งคั่งทั้งหมด,,,,,,,,,Tổng tài sản,Tổng tài sản,,"userManagement.a35, transactionItemList.b11"
收入與財富來源,收入与财富来源,Sources of Income and Wealth,,แหล่งรายได้และความมั่งคั่ง,,,,,,,,,Nguồn thu nhập và tài sản,Nguồn thu nhập và tài sản,,userManagement.a36
開戶原因,开户原因,Reason for Opening Account,,เหตุผลในการเปิดบัญชี,,,,,,,,,Nguyên nhân mở tài khoản,Nguyên nhân mở tài khoản,,"userManagement.a37, transactionItemList.b9"
交易經驗,交易经验,Experience in Trading,,ประสบการณ์การเทรด,,,,,,,,,Kinh nghiệm giao dịch,Kinh nghiệm giao dịch,,"userManagement.a38, transactionItemList.b8"
開戶時間,,Account opening date,,,,,,,,,,,,,,userManagement.a39
身份證明文件正面,,Front of the ID card,,,,,,,,,,,,,,userManagement.a40
身份證明文件反面,,Back of the ID card,,,,,,,,,,,,,,userManagement.a41
身份證明文件2,,Identification document 2,,,,,,,,,,,,,,userManagement.a42
手持證件自拍,,Take a selfie with ID card in hand,,,,,,,,,,,,,,userManagement.a43
種類,,Type,,,,,,,,,,,,,,userManagement.a44
銀行代碼,,Bank code,,,,,,,,,,,,,,"userManagement.a45,depositWithdrawalManagement.a102"
帳號,帐号,Account Number,,หมายเลขบัญชี,,,,,,,,,Số tài khoản,Số tài khoản,,userManagement.a46
戶名,,Account name,,,,,,,,,,,,,,userManagement.a47
附加檔案,,Attachment files,,,,,,,,,,,,,,userManagement.a48
鎖定,,Lock,,,,,,,,,,,,,,"userManagement.a50,depositWithdrawalManagement.a23"
審核駁回,,Review denied,,,,,,,,,,,,,,userManagement.a51
編輯用戶資料,,Edit user information,,,,,,,,,,,,,,userManagement.a52
確定要將這用戶駁回審核?,,Are you sure you want to deny the review of this user?,,,,,,,,,,,,,,userManagement.a53
確定要將這用戶通過審核?,,Are you sure you want to approve the review of this user?,,,,,,,,,,,,,,userManagement.a54
解除封鎖,,Unblock,,,,,,,,,,,,,,"userManagement.a56,setting.unblock"
"確定要解除封鎖該用戶嗎？\n\n
解除封鎖用戶後，該用戶將可以重新登入並進行交易",,Are you sure you want to unblock this user? \n\n Unblocking the user will allow them to log in and trade.,,,,,,,,,,,,,,userManagement.a57
"重置該用戶的密碼，系統將會主動發送一封重置密碼確認信件，引導用戶重新設定新密碼。\n\n
重設密碼後，原本的密碼將無法使用，確定要重設密碼嗎？",,"The system will send a confirmation email to reset the password and guide the user to set a new password. \n\n After resetting the password, the original password will no longer work. Are you sure you want to reset the password?",,,,,,,,,,,,,,userManagement.a58
"確定要封鎖該用戶嗎？
封鎖用戶後，該用戶將無法登入、並進行交易，直到您再次解除封鎖。",,"Are you sure you want to block this user? After blocking the user, they will no longer be able to log in or trade until you unblock them.",,,,,,,,,,,,,,userManagement.a59
封鎖,,Block,,,,,,,,,,,,,,"userManagement.a60,setting.blockade,riskWarning.block"
確認審核,,Confirm review,,,,,,,,,,,,,,userManagement.a61
通過出金帳戶,,Approve withdrawal account,,,,,,,,,,,,,,userManagement.a62
確定要通過這用戶出金帳戶審核？,,Are you sure you want to approve the review of the user's withdrawal account?,,,,,,,,,,,,,,userManagement.a63
拒絕出金帳戶,,Deny withdrawal account,,,,,,,,,,,,,,userManagement.a64
"拒絕該帳戶的審核，將會導致用戶無法使用該帳戶出金。如用戶需要使用該帳戶出金，則需再次申請。\n\n
請填寫拒絕的原因:",,"Once the review of the account is denied, the user will not be able to transfer funds into the withdrawal account. If the user wishes to make withdrawals, they will need to submit an application again. \n\n Please fill out the reason for rejection:",,,,,,,,,,,,,,userManagement.a65
請輸入拒絕原因,,Please fill out the reason for rejection.,,,,,,,,,,,,,,userManagement.a66
拒絕審核,,Deny review,,,,,,,,,,,,,,userManagement.a67
刪除出金帳戶,,Delete withdrawal account,,,,,,,,,,,,,,"userManagement.a68,setting.deleteWithdrawalAccount"
"刪除該帳戶，將會導致用戶無法使用該帳戶出金。如用戶需要使用該帳戶出金，則需再次申請。\n\n
確定要刪除出金帳戶嗎？",,"Deleting the account will prevent the user from using the account to withdraw funds from the trading account. If the user wishes to use the account to withdraw funds, they will need to submit an application again. \n\n Are you sure you want to delete the withdrawal account?",,,,,,,,,,,,,,userManagement.a69
出金帳戶附加檔案,,Withdrawal account attachment files,,,,,,,,,,,,,,userManagement.a71
交易細節,,Trade details,,,,,,,,,,,,,,userManagement.a73
浮動盈虧,浮动盈亏,Unrealised P/L,,กำไร/ขาดทุนลอยตัว,,,,,,,,,Lãi lỗ biến đổi,Lãi lỗ biến đổi,,userManagement.a74
佔用保證金,,Used margin,,,,,,,,,,,,,,userManagement.a75
佔用保證金(含盈虧),,Used margin (including profit and loss),,,,,,,,,,,,,,userManagement.a76
可用保證金,,"available margin,",,อัตรากำไรขั้นต้นที่มีอยู่,,,,,,,,,Tiền bảo lãnh có thể sử dụng,Tiền bảo lãnh có thể sử dụng,,userManagement.a77
入金總額,入金总额,Total Deposit,,ยอดเงินฝาก,,,,,,,,,Tổng số nhập tiền,Tổng số nhập tiền,,userManagement.a78
出金總額,出金总额,Total Withdrawal,,ยอดถอนทั้งหมด,,,,,,,,,Tổng số xuất tiền,Tổng số xuất tiền,,userManagement.a79
資金淨值,,Equity,,,,,,,,,,,,,,userManagement.a80
延遲時間,,Delay time,,,,,,,,,,,,,,userManagement.a81
點差及手續費設定,,Settings for spread and handling fees,,,,,,,,,,,,,,userManagement.a83
用戶層級列表,,User level list,,,,,,,,,,,,,,userManagement.a85
出入金相關,,Deposit and withdrawal related settings,,,,,,,,,,,,,,userManagement.a87
首次最低入金額度,,Minimum initial deposit,,,,,,,,,,,,,,"userManagement.a88,depositWithdrawalManagement.a63"
最低入金額度,,Minimum deposit amount,,,,,,,,,,,,,,"userManagement.a89,depositWithdrawalManagement.a64"
人工審核額度,,Amount required for manual review,,,,,,,,,,,,,,"userManagement.a90,depositWithdrawalManagement.a65"
入金手續費,,Handling fees for deposits,,,,,,,,,,,,,,userManagement.a92
單筆最低取款金額,,Minimum amount of withdrawal per transaction,,,,,,,,,,,,,,"userManagement.a93,depositWithdrawalManagement.a91"
出金手續費,,Handling fee for withdrawals,,,,,,,,,,,,,,userManagement.a97
強制平倉設定,,Forced liquidation settings,,,,,,,,,,,,,,userManagement.a98
平日收盤前強平比例,,Rate of pre-close forced liquidation on weekdays,,,,,,,,,,,,,,"userManagement.a99,paramManagement.weekdayMarketCloseRate"
假日收盤前強平比例,,Rate of pre-close forced liquidation on weekends,,,,,,,,,,,,,,"userManagement.a100,paramManagement.holidayCloseRate"
平時強平比例,,Rate of forced liquidation on weekdays,,,,,,,,,,,,,,"userManagement.a101,paramManagement.weekdayCloseRate"
即將平倉通知比例,,Rate of soon closing position notifications,,,,,,,,,,,,,,"userManagement.a102,paramManagement.ClosePositionRate"
延遲下單時間,,Delay time of order placements,,,,,,,,,,,,,,userManagement.a104
單筆交易手續費,,Handling fee per transaction,,,,,,,,,,,,,,userManagement.a105
高於,,Higher than,,,,,,,,,,,,,,userManagement.a106
手續費,,Handling Fee,,ค่าธรรมเนียม,,,,,,,,,Phí thực hiện,Phí thực hiện,,"userManagement.a107,depositWithdrawalManagement.a72"
如欲調整比例及數字，請前往個別頁面設定。,,"If you wish to adjust the rates and numbers, please go to individual pages for settings.",,,,,,,,,,,,,,userManagement.a108
查看更多,,View more,,,,,,,,,,,,,,userManagement.a109
標籤名稱,,Names of tags,,,,,,,,,,,,,,userManagement.a110
目前貼標人數,,Current number of people tagged,,,,,,,,,,,,,,userManagement.a111
新增時間,,Add time,,,,,,,,,,,,,,userManagement.a112
選擇入金方式(可複選),,Select deposit method (multiple choice),,,,,,,,,,,,,,userManagement.a114
選擇出金方式(可複選),,Select withdrawal method (multiple choice),,,,,,,,,,,,,,userManagement.a115
已成功解除封鎖該用戶,,Successfully unblocked user,,,,,,,,,,,,,,userManagement.a116
