zh_TW,zh-CN,en-EN,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
追蹤止損,追踪止损,Tracked stop loss,ติดตามการสูญเสียหยุด,20,17,追跡された停止損失,9,4,추적 스톱 손실,8,4,Theo dõi dừng mất,17,17,"common.trailingStop,positionModify.trailingStopTitle"
多完交易產品安全,,,,,,,,,,,,,,,home.defaultBannerTitle
快速下單直覺 多樣化下單工具,,,,,,,,,,,,,,,home.defaultBannerSubtitle
更多交易,,,,,,,,,,,,,,,home.moreTransaction
暫無行情,,,,,,,,,,,,,,,"home.quotaEmptyTip,futuresMarketContent.listEmptyTip"
添加自選,,,,,,,,,,,,,,,"home.addCustomQuotaTip,futuresCustomEdit.emptyTip,futuresMarketContent.addCustomQuotaTip"
公告,,,,,,,,,,,,,,,home.announcement
歡迎來到{appName}~,,,,,,,,,,,,,,,home.defaultMarquee
交易品種,交易品种,Trading variety,ความหลากหลายของการซื้อขาย,25,15,トランザクションの種類,11,4,거래 품종,5,4,Giao dịch đa dạng,17,15,"home.tradingVarietyTitle,futuresCustomEdit.futuresName,futuresMarketContent.futuresName"
賣出價,卖出价,Selling price,ราคาขาย,7,13,販売価格,4,3,판매 가격,5,3,Gia ban,7,13,"home.sellingPriceTitle,futuresAlert.sellOutPrice,futuresDetail.sellOutPrice,futuresMarketContent.sellPrice"
買入價,买入价,Buying price,ราคาซื้อ,8,12,購入価格,4,3,구매 가격,5,3,Giá mua,7,12,"home.buyingPriceTitle,futuresAlert.buyInPrice,futuresDetail.buyInPrice,futuresMarketContent.buyPrice"
專屬客服,专属客服,Customer Service,บริการลูกค้า,12,16,排他的なカスタマーサービス,13,4,독점 고객 서비스,9,4,Dịch vụ khách hàng,18,16,"home.customerServiceButton,customerService.appBarTitle"
更方便、更快捷、更高效的服務,更方便、更快捷、更高效的服务,More convenient and faster service,บริการที่สะดวกและเร็วขึ้น,25,34,簡単で、より速く、より効率的なサービス,19,14,쉽고 빠르며 효율적인 서비스,15,14,Dịch vụ thuận tiện và nhanh hơn,31,34,home.customerServiceContent
任務中心,,,,,,,,,,,,,,,home.missionButton
歡迎 ~ 立即交易全球市場,欢迎 ~ 立即交易全球市场,"Welcome, start trading on global markets.",ยินดีต้อนรับเริ่มซื้อขายในตลาดโลก,33,41,ようこそ〜グローバル市場をすぐに取引してください,24,13,환영합니다 ~ 글로벌 시장을 즉시 거래하십시오,25,13,"Chào mừng, bắt đầu giao dịch trên thị trường toàn cầu.",54,41,home.logoMessageContent
儲值,储值,Deposit,เงินฝาก,7,7,ストレージ値,6,2,저장 가치,5,2,Gửi tiền,8,7,"home.depositButton,assets.depositButton"
訂單列表,订单列表,Trade,ซื้อขาย,7,5,オーダーリスト,7,4,주문 목록,5,4,Buôn bán,8,5,home.tadeListButton
活動,活动,Event,เหตุการณ์,9,5,アクティビティ,7,2,활동,2,2,Biến cố,7,5,home.eventButton
教學,教学,Tutorial,การสอน,6,8,教育,2,2,가르치는,4,2,Hướng dẫn,9,8,"home.tutorialButton,qa.appBarTitle"
熱門交易,热门交易,Popular,เป็นที่นิยม,11,7,人気のある取引,7,4,인기있는 거래,7,4,Phổ biến,8,7,home.futuresTabTop
自選,,,,,,,,,,,,,,,"home.futuresTabFavorite,futuresMarketContent.customTab"
保證金比例過低提示! ({percent}%),,,,,,,,,,,,,,,marginLevelWarningBar.tip
使用信箱註冊,,,,,,,,,,,,,,,signUp.emailRegistrationTitle
請填寫您的電子信箱,,,,,,,,,,,,,,,"signUp.enterEmailHint,forgotPassword.enterEmailHint,login.enterEmailHint"
註冊成功,,,,,,,,,,,,,,,signUp.signUpSuccess
輸入信箱收到的驗證碼,,,,,,,,,,,,,,,signUp.emailEnterCodeHint
註冊即代表您同意我們的,,,,,,,,,,,,,,,signUp.agreeOurPrivacy
隱私和政策.,,,,,,,,,,,,,,,signUp.agreeOurPrivacyValue
已有帳號？,已有帐号？,Already have account?,มีบัญชีแล้ว?,12,21,既存のアカウント？,9,5,기존 계정?,6,5,Đã có tài khoản?,16,21,"signUp.alreadyHaveAccountButton,signUpNavigation.alreadyHaveAccountButton"
使用手機號碼註冊,使用手机号码注册,Phone No. Registration,หมายเลขโทรศัพท์ลงทะเบียน,24,22,携帯電話番号を使用して登録してください,19,8,휴대 전화 번호를 사용하여 등록하십시오,21,8,Điện thoại số đăng ký,21,22,signUp.phoneNumberRegistrationTitle
請輸入您的手機號碼,请输入您的手机号码,Please enter your phone no.,กรุณากรอกหมายเลขโทรศัพท์ของคุณ,30,27,電話番号を入力してください,13,9,전화 번호를 입력하십시오,13,9,Vui lòng nhập không có điện thoại của bạn.,42,27,"signUp.enterPhoneNumberHint,forgotPassword.enterPhoneNumberHint,login.enterPhoneNumberHint,phoneBind.inputPhoneHint"
輸入密碼,输入密码,Enter your password,ป้อนรหัสผ่านของคุณ,18,19,パスワードを入力する,10,4,암호를 입력,6,4,Nhập mật khẩu của bạn,21,19,"signUp.enterPasswordHint,login.enterPasswordHint"
輸入簡訊收到的驗證碼,输入简讯收到的验证码,The code you received  via SMS,รหัสที่คุณได้รับผ่าน SMS,24,30,ニュースレターが受信した検証コードを入力します,23,10,뉴스 레터에서받은 검증 코드를 입력하십시오,23,10,Mã bạn nhận được qua SMS,24,30,"signUp.phoneNumberEnterCodeHint,phoneBind.phoneNumberEnterCodeHint"
註冊,注册,Register,ลงทะเบียน,9,8,登録,2,2,등록하다,4,2,Đăng ký,7,8,"signUp.registerButton,signUpNavigation.registerButton,agentReferralCodeList.registerTitle"
超過一百個以上的交易品項,超过一百个以上的交易品项,Explore over 100 exciting markets,สำรวจตลาดที่น่าตื่นเต้นกว่า 100 แห่ง,36,33,100を超える取引アイテム,13,12,100 개 이상의 거래 품목,15,12,Khám phá hơn 100 chợ thú vị,27,33,signUpNavigation.benefit1
二十四小時隨時交易,二十四小时随时交易,Trade 24 hours a day,การค้า 24 ชั่วโมงต่อวัน,23,20,いつでも24時間の取引,11,9,언제든지 29 시간의 거래,14,9,Giao dịch 24 giờ một ngày,25,20,signUpNavigation.benefit2
免傭金以及低點差,,,,,,,,,,,,,,,signUpNavigation.benefit3
免費的獨家見解,免费的独家见解,Get FREE exclusive insights,รับข้อมูลเชิงลึกพิเศษฟรี,24,27,無料の排他的な洞察,9,7,무료 독점 통찰력,9,7,Nhận hiểu biết độc quyền miễn phí,33,27,signUpNavigation.benefit4
歡迎,欢迎,Welcome,ยินดีต้อนรับ,12,7,ようこそ,4,2,환영하다,4,2,Chào mừng,9,7,signUpNavigation.welcomeTitle
新使用者註冊,新使用者注册,new user registration,การลงทะเบียนผู้ใช้ใหม่,22,21,新しいユーザー登録,9,6,새로운 사용자 등록,10,6,Đăng Ký Người Dùng Mới,22,21,signUpNavigation.newUserTitle
國家,,,,,,,,,,,,,,,countryCode.country
請輸入名稱或區碼,,,,,,,,,,,,,,,countryCode.searchEnterHint
密碼重設成功,,,,,,,,,,,,,,,forgotPassword.resetSuccess
確認並提交,,,,,,,,,,,,,,,forgotPassword.resetButton
請輸入新密碼,请输入新密码,New password,รหัสผ่านใหม่,12,12,新しいパスワードを入力してください,17,6,새 비밀번호를 입력하십시오,14,6,Mật khẩu mới,12,12,"forgotPassword.newPasswordHint,changePassword.newPasswordHint"
輸入驗證碼,,,,,,,,,,,,,,,"forgotPassword.enterCaptchaHint,changePassword.captchaHint,emailBind.captchaHint"
登入成功,,,,,,,,,,,,,,,login.loginSuccess
立刻註冊,立刻注册,Register Now,สมัครตอนนี้,11,12,すぐに登録してください,11,4,즉시 등록하십시오,9,4,Đăng ký ngay bây giờ,20,12,login.registerNowButton
忘記密碼？,忘记密码？,Forget password?,ลืมรหัสผ่าน?,12,16,パスワードを忘れますか？,12,5,비밀번호 분실?,8,5,Quên mật khẩu?,14,16,login.forgetPasswordButton
首頁,首页,Home,บ้าน,4,4,表紙,2,2,첫 장,3,2,Nhà,3,4,menu.home
資產,资产,Funds,เงินทุน,7,5,資産,2,2,자산,2,2,Tiền,4,5,menu.funds
交易,交易,Trade,ซื้อขาย,7,5,トレード,4,2,거래,2,2,Buôn bán,8,5,menu.trade
倉位,仓位,Positions,ตำแหน่ง,7,9,ポジション,5,2,위치,2,2,Vị trí,6,9,"menu.positions,assets.positions"
我的,我的,My,ของฉัน,6,2,私の,2,2,나의 것,4,2,Của tôi,7,2,menu.my
訪客,,,,,,,,,,,,,,,"assets.guestName,memberCenter.guestName"
盈虧,盈亏,Profit and loss,กำไรและขาดทุน,13,15,利益と損失,5,2,이익과 손실,6,2,Lợi nhuận và thua lỗ,20,15,"assets.profitLoss,positionDetail.profitLoss,positions.profitLoss,transactionHistory.profitLoss,agentFundingPositionsList.profitLossTitle,agentFundingPositionsDetail.profitLossTitle"
出入金紀錄,,,,,,,,,,,,,,,"assets.paymentHistory,paymentHistory.appBarTitle,agentUsersDetail.historyButton,agentUserPaymentHistory.appBarTitle"
查看詳細的出入金交易活動,,,,,,,,,,,,,,,assets.paymentHistorySubtitle
查看特定階段的交易活動,,,,,,,,,,,,,,,assets.positionsSubtitle
前往驗證真實賬戶,,,,,,,,,,,,,,,assets.toVerificationAccount
存入資金,,,,,,,,,,,,,,,assets.depositButtonTip
出金,退出,Withdrawal,การถอนตัว,9,10,出金,2,2,철수,2,2,Rút tiền,8,10,"assets.withdrawButton,paymentHistory.typeWithdraw,withdraw.appBarTitle,agentUserPaymentHistoryList.withdraw"
提取資金,,,,,,,,,,,,,,,assets.withdrawButtonTip
自由資金,自由资金,Free funds,เงินทุนฟรี,10,10,無料の資金,5,4,무료 자금,5,4,Tiền miễn phí,13,10,"assets.availableFunds,accountTransaction.availableFunds"
淨值,净值,net worth,รายได้สุทธิ,11,9,純資産,3,2,순자산,3,2,giá trị ròng,12,9,"assets.netAssetValue,accountTransaction.netAssetValue,walletAssetsPopup.netAssetValue"
初始保證金,,,,,,,,,,,,,,,assets.occupyMargin
維持保證金總額,,,,,,,,,,,,,,,assets.maintenanceMarginTotal
浮動盈虧,浮动盈亏,Floating profit and loss,กำไรและขาดทุน,13,24,浮かぶ利益と損失,8,4,떠 다니는 이익과 손실,12,4,Lãi và lỗ,9,24,"assets.dynamicProfitLoss,accountTransaction.dynamicProfitLoss,futuresContract.dynamicProfitLoss,positionDetail.dynamicProfitLoss,transactionHistoryDetail.dynamicProfitLoss,walletAssetsPopup.dynamicProfitLoss"
平倉盈虧,,,,,,,,,,,,,,,assets.closePositionProfitLoss
凍結保證金,,,,,,,,,,,,,,,assets.freezeMargin
帳號資訊,帐号资讯,Account information,ข้อมูลเกี่ยวกับบัญชี,20,19,口座情報,4,4,계정 정보,5,4,Thông tin tài khoản,19,19,"accountData.appBarTitle,memberCenter.accountInfo"
尚未設定,,,,,,,,,,,,,,,"accountData.phoneHint,accountData.emailHint"
手機號碼,手机号码,phone number,หมายเลขโทรศัพท์,15,12,電話番号,4,4,전화 번호,5,4,số điện thoại,13,12,accountData.phoneTitle
驗證手機,,,,,,,,,,,,,,,accountData.phoneVerifyButton
Email,电子邮件,Email,อีเมล,5,5,Eメール,4,5,이메일,3,5,E-mail,6,5,accountData.emailTitle
驗證Email,,,,,,,,,,,,,,,"accountData.emailVerifyButton,emailBind.appBarTitle"
推薦碼,推荐码,Recommendation code,รหัสคำแนะนำ,11,19,推奨コード,5,3,추천 코드,5,3,Mã giới thiệu,13,19,"accountData.referralCodeTitle,referralCodeBind.inputTitle,agentUser.filterPopup.recommendedCode,agentReferralUserList.recommendedCode,agentReferralCode.appBarTitle"
無,,,,,,,,,,,,,,,"accountData.referralCodeHint,futuresAlert.enterPriceHint"
新增推薦碼,新增推荐码,Added recommendation code,เพิ่มรหัสคำแนะนำ,16,25,推奨コードを追加しました,12,5,추천 코드가 추가되었습니다,14,5,Đã thêm mã khuyến nghị,22,25,"accountData.referralAddButton,referralCodeBind.addButton,editAgentReferralCode.addReferralCodeTitle"
使用者驗證資料,使用者验证资料,User verification information,ข้อมูลการยืนยันผู้ใช้,21,29,ユーザー検証情報,8,7,사용자 확인 정보,9,7,Thông tin xác minh người dùng,29,29,accountIdentifyData.appBarTitle
真實姓名,真实姓名,actual name,ชื่อจริง,8,11,実際の名前,5,4,실제 이름,5,4,Tên thực tế,11,11,"accountIdentifyData.actualNameTitle,applyAgent.realName,personalVerify.realNameTitle"
英文姓名,英文姓名,English name,ชื่อภาษาอังกฤษ,14,12,英語名,3,4,영어 이름,5,4,tên tiêng Anh,13,12,"accountIdentifyData.englishNameTitle,personalVerify.englishNameTitle"
地址,地址,address,ที่อยู่,7,7,住所,2,2,주소,2,2,Địa chỉ,7,7,"accountIdentifyData.addressTitle,personalVerify.addressTitle"
職業,职业,Profession,วิชาชีพ,7,10,職業,2,2,직업,2,2,Nghề nghiệp,11,10,accountIdentifyData.professionTitle
就業狀態,就业状态,Employment,การจ้างงาน,10,10,雇用状況,4,4,고용 상태,5,4,Thuê người làm,14,10,"accountIdentifyData.employmentTitle,personalVerify.employmentStatusTitle"
交易經驗,交易经验,Transaction experience,ประสบการณ์การทำธุรกรรม,22,22,取引経験,4,4,거래 경험,5,4,Kinh nghiệm giao dịch,21,22,"accountIdentifyData.transactionExperienceTitle,personalVerify.tradingExperienceTitle"
開戶原因,开户原因,Reasons for opening account,เหตุผลในการเปิดบัญชี,20,27,原因,2,4,원인,2,4,Lý do mở tài khoản,18,27,"accountIdentifyData.reasonsOpeningAccountTitle,personalVerify.accountOpeningReasonTitle"
收入,收入,income,รายได้,6,6,所得,2,2,소득,2,2,thu nhập,8,6,"accountIdentifyData.incomeTitle,personalVerify.incomeRangeTitle"
總財富,总财富,Total wealth,ความมั่งคั่งทั้งหมด,19,12,一般的な富,5,3,일반적인 부,6,3,Tổng số giàu có,15,12,"accountIdentifyData.totalWealthTitle,personalVerify.totalPossessionsTitle"
收入與財富來源,收入与财富来源,Source of income and wealth,แหล่งรายได้และความมั่งคั่ง,26,27,収入と富の源,6,7,소득과 부의 근원,9,7,Nguồn thu nhập và sự giàu có,28,27,"accountIdentifyData.incomeWealthSourceTitle,personalVerify.sourceIncomeTitle"
身份證明文件,身份证明文件,Identity document,เอกสารประจำตัว,14,17,身分証明書,5,6,신원 문서,5,6,Tài liệu nhận dạng,18,17,"accountIdentifyData.identityCertificateTitle,fileVerify.idCardTitle"
設置,,,,,,,,,,,,,,,accountManager.appBarTitle
身份驗證資料,,,,,,,,,,,,,,,accountManager.accountIdentifyData
出金帳戶設定,出金帐户设定,Withdrawal account settings,การตั้งค่าบัญชีถอน,18,27,ゴールドアカウント設定,11,6,금 계정 설정,7,6,Cài đặt tài khoản rút tiền,26,27,"accountManager.withdrawalAccountSettings,bankAccountDetail.appBarTitle"
帳戶資訊,,,,,,,,,,,,,,,accountManager.accountInfo
修改密碼,修改密码,change Password,เปลี่ยนรหัสผ่าน,15,15,パスワードを変更する,10,4,비밀번호를 변경하십시오,12,4,đổi mật khẩu,12,15,"accountManager.changePassword,changePassword.appBarTitle"
持倉,持仓,Hold a position,ดำรงตำแหน่ง,11,15,ポジションを保持します,11,2,위치를 잡으십시오,9,2,Giữ một vị trí,14,15,"accountTransaction.tabPosition,futuresDetail.bottomSheet.accountPosition,positionDetail.positionTag"
掛單,挂单,Hang up,วางสาย,6,7,電話を切る,5,2,끊다,2,2,Treo lên,8,7,"accountTransaction.tabOrder,futuresDetail.bottomSheet.accountOrder,orderDetail.openPositionChartTag,orderDetail.orderTag,orderDetail.orderChartTag,agentFundingPositionsDetail.hangingTitle"
已平倉,已平仓,Have a liquidation,มีการชำระบัญชี,14,18,清算があります,7,3,청산이 있습니다,8,3,Có một thanh lý,15,18,"accountTransaction.tabHistory,transactionHistoryDetail.orderTag"
開倉價以高到低,,,,,,,,,,,,,,,accountTransaction.positionSortUp2Down
開倉價以低到高,,,,,,,,,,,,,,,accountTransaction.positionSortDown2Up
最久開倉時間,,,,,,,,,,,,,,,accountTransaction.positionSortOld2New
最近開倉時間,,,,,,,,,,,,,,,accountTransaction.positionSortNew2Old
時間-上,,,,,,,,,,,,,,,accountTransaction.sortTimeUp
時間-下,,,,,,,,,,,,,,,accountTransaction.sortTimeDown
開倉價-上,,,,,,,,,,,,,,,accountTransaction.sortPriceUp
開倉價-下,,,,,,,,,,,,,,,accountTransaction.sortPriceDown
模擬帳戶,模拟帐户,Simulation account,บัญชีจำลอง,10,18,シミュレーションアカウント,13,4,시뮬레이션 계정,8,4,Tài khoản mô phỏng,18,18,accountTransaction.accountSimulation
真實帳戶,,,,,,,,,,,,,,,accountTransaction.accountReal
動態權益,,,,,,,,,,,,,,,accountTransaction.dynamicFunds
保證金,保证金,Margin,ระยะขอบ,7,6,預り金,3,3,보증금,3,3,Lề,2,6,"accountTransaction.occupyMargin,futuresTransaction.limitOrderPopup.occupyMargin,futuresTransaction.marketOrderPopup.occupyMargin,walletAssetsPopup.margin"
維持保證金,维持保证金,Maintain a deposit,เก็บเงินฝาก,11,18,デポジットを維持します,11,5,예금을 유지하십시오,10,5,Duy trì một khoản tiền gửi,26,18,"accountTransaction.maintenanceMargin,positionDetail.maintenanceMargin,walletAssetsPopup.maintenanceMargin"
保證金水平,保证金水平,Margin level,ระดับอัตรากำไรขั้นต้น,21,12,マージンレベル,7,5,여백 레벨,5,5,Mức ký quỹ,10,12,"accountTransaction.marginLevel,walletAssetsPopup.marginLevel"
成為代理,成为代理,Become an agent,เป็นตัวแทน,10,15,エージェントになります,11,4,에이전트가 되십시오,10,4,Trở thành một đại lý,20,15,"applyAgent.appBarTitle,applyAgent.applyAgentButton,memberCenter.applyAgent"
申請成功,,,,,,,,,,,,,,,applyAgent.applySuccess
申請審核預計會需要,,,,,,,,,,,,,,,applyAgent.daysAuditingExpectedHintPart1
3~5,,,,,,,,,,,,,,,applyAgent.daysAuditingExpectedHintPart2
"個工作天。
申請通過後，將會主動通知，就可以使用 APP 內的代理前台來邀請用戶並開始交易。",,,,,,,,,,,,,,,applyAgent.daysAuditingExpectedHintPart3
回到個人設定,回到个人设定,Back to personal settings,กลับไปที่การตั้งค่าส่วนบุคคล,28,25,個人的な設定に戻ります,11,6,개인 설정으로 돌아갑니다,13,6,Quay lại cài đặt cá nhân,24,25,applyAgent.backPersonalSettingsButton
申請完成,申请完成,Apply to complete,สมัครเพื่อเสร็จสิ้น,19,17,完了に応募します,8,4,완료하려면 적용하십시오,12,4,Áp dụng để hoàn thành,21,17,applyAgent.applicationCompleteTitle
送出申請,送出申请,send application,ส่งใบสมัคร,10,16,アプリケーションを送信します,14,4,신청서를 보내십시오,10,4,Gửi ứng dụng,12,16,applyAgent.sendApplyButton
聯絡電話,联络电话,Contact phone number,หมายเลขโทรศัพท์ติดต่อ,21,20,連絡先の電話番号,8,4,연락처 전화 번호,9,4,Số điện thoại liên hệ,21,20,applyAgent.contactPhoneTitle
請輸入聯絡電話,请输入联络电话,Please enter the contact phone number,กรุณากรอกหมายเลขโทรศัพท์ติดต่อ,30,37,連絡先電話番号を入力してください,16,7,연락처 전화 번호를 입력하십시오,17,7,Vui lòng nhập số điện thoại liên hệ,35,37,applyAgent.enterContactPhoneHint
微信,微信,WeChat,Wechat,6,6,wechat,6,2,Wechat,6,2,WeChat,6,6,applyAgent.wechatTitle
請輸入微信,,,,,,,,,,,,,,,applyAgent.wechatHint
Line ID,,,,,,,,,,,,,,,applyAgent.lineIdTitle
請輸入Line ID,,,,,,,,,,,,,,,applyAgent.lineIdHint
立刻申請成為代理,立刻申请成为代理,Apply immediately as an agent,สมัครเป็นตัวแทนทันที,20,29,エージェントとしてすぐに適用します,17,8,에이전트로 즉시 적용하십시오,15,8,Áp dụng ngay lập tức như một đại lý,35,29,applyAgent.applyAgentImmediatelyButton
授權夥伴與我們共享成功果實。前端服務品質至關重要，因此我們只會與夥伴合作完成此項任務。,授权伙伴与我们共享成功果实。前端服务品质至关重要，因此我们只会与伙伴合作完成此项任务。,"The authorized partners share successful fruits with us. The quality of the front -end service is critical, so we will only cooperate with our partners to complete this task.",พันธมิตรที่ได้รับอนุญาตแบ่งปันผลไม้ที่ประสบความสำเร็จกับเรา คุณภาพของบริการด้านหน้าเป็นสิ่งสำคัญดังนั้นเราจะร่วมมือกับพันธมิตรของเราเพื่อทำงานนี้ให้สำเร็จ,154,174,認可されたパートナーは、成功した果物を私たちと共有しています。フロントエンドサービスの品質は重要であるため、このタスクを完了するためにパートナーとのみ協力します。,81,43,공인 파트너는 성공적인 과일을 우리와 공유합니다. 프론트 엔드 서비스의 품질은 중요 하므로이 작업을 완료하기 위해 파트너와 협력 할 것입니다.,79,43,"Các đối tác được ủy quyền chia sẻ trái cây thành công với chúng tôi. Chất lượng của dịch vụ mặt trận là rất quan trọng, vì vậy chúng tôi sẽ chỉ hợp tác với các đối tác của mình để hoàn thành nhiệm vụ này.",204,174,applyAgent.applyAgentTip
可以在短邊推測,可以在短边推测,Can be speculated on the short side,สามารถคาดเดาได้ทางด้านสั้น,26,35,短い面で推測することができます,15,7,짧은 쪽에서 추측 할 수 있습니다,18,7,Có thể được suy đoán ở phía ngắn,32,35,applyAgent.medalTitle1
獲得更多收益,获得更多收益,Get more benefits,รับประโยชน์เพิ่มเติม,20,17,より多くのメリットを得る,12,6,더 많은 혜택을 얻으십시오,14,6,Nhận thêm lợi ích,17,17,applyAgent.medalTitle2
降低風險,降低风险,reduce risk,ลดความเสี่ยง,12,11,リスクを減らします,9,4,위험을 줄입니다,8,4,giảm rủi ro,11,11,applyAgent.medalTitle3
綁定成功,,,,,,,,,,,,,,,bankAccountBind.bindSuccess
修正帳戶設定,,,,,,,,,,,,,,,bankAccountBind.appBarEditingTitle
新增帳戶設定,新增帐户设定,New account settings,การตั้งค่าบัญชีใหม่,19,20,新しいアカウント設定,10,6,새로운 계정 설정,9,6,Cài đặt tài khoản mới,21,20,bankAccountBind.appBarNormalTitle
銀行存摺封面,银行存折封面,Bank passbook cover,ปกสมุดบัญชีธนาคาร,17,19,銀行のパスブックカバー,11,6,은행 패스북 표지,9,6,Bìa Passbook ngân hàng,22,19,bankAccountBind.passbookPictureTitle
請提供包含戶名為您本人的存摺封面或銀行卡照片。,请提供包含户名为您本人的存折封面或银行卡照片。,Please provide a passbook cover or bank card photo containing your own name.,โปรดระบุหน้าปกสมุดบัญชีสมุดบัญชีหรือรูปภาพบัตรธนาคารที่มีชื่อของคุณเอง,70,76,あなた自身の名前を含むパスブックカバーまたは銀行カードの写真を提供してください。,40,23,자신의 이름이 포함 된 Passbook 표지 또는 은행 카드 사진을 제공하십시오.,45,23,Vui lòng cung cấp bìa Passbook hoặc ảnh thẻ ngân hàng có chứa tên của riêng bạn.,80,76,bankAccountBind.passbookPictureContent
上傳存摺正面照,,,,,,,,,,,,,,,bankAccountBind.passbookForegroundUpload
戶名,户名,Household name,ชื่อครัวเรือน,13,14,有名な名前,5,2,가구 이름,5,2,Tên hộ gia đình,15,14,"bankAccountBind.accountNameTitle,bankAccountDetail.accountNameTitle"
請輸入戶名,请输入户名,Please enter the household name,โปรดป้อนชื่อครัวเรือน,21,31,世帯名を入力してください,12,5,가구 이름을 입력하십시오,13,5,Vui lòng nhập tên hộ gia đình,29,31,"bankAccountBind.accountNameHint,editAgentReferralCode.enterNameHint"
銀行代號,银行代号,Bank code,รหัสธนาคาร,10,9,金融機関コード,7,4,은행 코드,5,4,Mã ngân hàng,12,9,"bankAccountBind.bankCodeTitle,bankAccountDetail.bankCodeTitle"
請輸入銀行代號,请输入银行代号,Please enter the bank code,กรุณากรอกรหัสธนาคาร,19,26,銀行コードを入力してください,14,7,은행 코드를 입력하십시오,13,7,Vui lòng nhập mã ngân hàng,26,26,bankAccountBind.bankCodeHint
帳號,帐号,account number,หมายเลขบัญชี,12,14,口座番号,4,2,계좌 번호,5,2,số tài khoản,12,14,"bankAccountBind.bankAccountTitle,bankAccountDetail.bankAccountTitle"
請輸入帳號,请输入帐号,please enter your account,กรุณากรอกบัญชีของคุณ,20,25,アカウントを入力してください,14,5,계정을 입력하십시오,10,5,Vui lòng nhập tài khoản của bạn,31,25,bankAccountBind.bankAccountHint
銀行轉帳,银行转帐,money transfer,การโอนเงิน,10,14,送金,2,4,돈 이체,4,4,chuyển tiền,11,14,"bankAccountBind.bankTransfer,bankAccountDetail.bankTransfer,bankAccountManager.bankTransfer,paymentBank.appBarTitle,paymentMethod.bankTitle,withdrawBank.appBarTitle,withdrawMethod.auditMethodBankTitle"
送出等待審核,送出等待审核,Send out waiting for review,ส่งการรอการตรวจสอบ,18,27,レビューを待つことを送ってください,17,6,리뷰를 기다리는 것을 보냅니다,16,6,Gửi ra chờ đánh giá,19,27,bankAccountBind.sendWaitingAuditButton
審核需要 3-5 個工作天，如有任何問題請聯絡客服人員。,,,,,,,,,,,,,,,bankAccountDetail.auditStatusTip
