查看出入金交易詳情,查看出入金交易详情,View detailed deposit and withdrawal,,ดูรายละเอียดการฝากถอนเงิน,,,詳細なアクセスゴールドトレーディングアクティビティを表示します,,,자세한 액세스 금 거래 활동을보십시오,,,Tra cứu hoạt động giao dịch xuất nhập tiền chi tiết,,,जमा और निकासी लेनदेन विवरण देखें,,,assets.paymentHistorySubtitle
倉位詳情,仓位详情,View trading activities at specific stages,,ดูกิจกรรมการซื้อขายในขั้นตอนเฉพาะ,,,特定の段階でトランザクションアクティビティを表示します,,,특정 단계에서 거래 활동을 봅니다,,,Tra cứu hoạt động giao dịch theo giai đoạn cụ thể,,,ऑर्डर का विवरण,,,assets.positionsSubtitle
前往驗證真實帳戶,前往验证真实账户,Verify Your Real Account,,ยืนยันบัญชี,,,実際のアカウントを確認します,,,실제 계정을 확인하려면 이동하십시오,,,Nghiệm chứng tài khoản thực,,,वास्तविक खाता सत्यापित करने जाएं,,,assets.idVerifyButton.statusNone
真實帳戶審核中,真实账户审核中,Real account under review,,บัญชีจริงอยู่ระหว่างการตรวจสอบ,,,,,,,,,Đang thẩm hạch tài khoản thực,,,वास्तविक खाता समीक्षाधीन है,,,assets.idVerifyButton.statusAudit
真實帳戶驗證未通過,真实账户验证未通过,Real account verification failed,,การยืนยันบัญชีจริงไม่สำเร็จ,,,,,,,,,Nghiệm chứng tài khoản thực chưa thông qua,,,वास्तविक खाता सत्यापन विफल रहा,,,assets.idVerifyButton.statusReject
存入資金,存入资金,Deposit Funds,,ฝากเงิน,,,デポジット,,,보증금,,,Gửi vào vốn,,,जमा धनराशि,,,assets.depositButtonTip
出金,出金,Withdraw,,ถอน,,,出金,,,철수,,,Tiền chi tiêu,,,पैसे निकालने,,,"assets.withdrawButton,paymentHistory.typeWithdraw,agentUserPaymentHistoryList.withdraw,withdraw.appBarTitle,withdrawThirdParty.withdrawButton"
提取資金,提取资金,Withdraw Funds,,ถอนเงิน,,,資金の抽出,,,자금 추출,,,Lĩnh vốn,,,पैसे निकालने,,,assets.withdrawButtonTip
自由資金,自由资金,Available Funds,,เงินสดอิสระ,,,無料の資金,,,무료 자금,,,Vốn tự do,,,उपलब्ध कोष,,,"assets.availableFunds,accountTransaction.availableFunds"
淨值,净值,Equity,,มูลค่าสุทธิ,,,純資産,,,순자산,,,Giá trị ròng,,,निवल मूल्य,,,"assets.netAssetValue,accountTransaction.netAssetValue,walletAssetsPopup.netAssetValue"
初始保證金,初始保证金,Initial Margin,,หลักประกันขั้นต้น,,,頭金,,,초기 입금,,,Tiền bảo lãnh ban đầu,,,आरंभिक अंतर,,,assets.occupyMargin
維持保證金總額,维持保证金总额,Total M. Margin,,หลักประกันรักษาสภาพรวม,,,総預金を維持します,,,총 예금을 유지하십시오,,,Duy trì tổng số tiền bảo lãnh,,,कुल रखरखाव मार्जिन,,,assets.maintenanceMarginTotal
浮動盈虧($),浮动盈亏($),Unrealised P/L ($),,กำไร/ขาดทุนลอยตัว,,,浮かぶ利益と損失,,,떠 다니는 이익과 손실,,,Lãi lỗ biến đổi,,,फ्लोट लाभ/ हानि($),,,assets.dynamicProfitLoss
平倉盈虧,平仓盈亏,Realised P/L,,ชดเชยกำไร/ขาดทุน,,,ごみと損失,,,쓰레기와 손실,,,Lãi lỗ vị thế thanh lý,,,लाभ/हानि,,,"assets.closePositionProfitLoss,transactionHistoryDetail.dynamicProfitLoss"
凍結保證金($),冻结保证金($),Frozen Margin ($),,Frozen Margin ($),,,冷凍堆積物 ($),,,냉동 예금 ($),,,Đóng băng tiền bảo lãnh ($),,,फ़्रीज़ जमा ($),,,assets.freezeMargin
全倉,全仓,Cross Margin,,Cross Margin,,,全倉,,,모든 창고,,,Ký quỹ chéo,,,क्रॉस मार्जिन मोड,,,"assets.crossMargin,accountTransaction.crossMargin,futuresTransaction.crossMargin,tradeModePopup.crossMargin"
逐倉,逐仓,Isolated,,Isolated Margin,,,逐倉,,,상호 작용,,,Vị thế giao dịch,,,आइसोलेटेड मार्जिन मोड,,,"assets.isolateMargin,accountTransaction.isolateMargin,futuresTransaction.isolateMargin,tradeModePopup.isolateMargin"
資金淨值($),资金净值($),Equity ($),,อิควิตี้ ($),,,,,,,,,Giá trị ròng ($),,,इक्विटी($),,,assets.netWorth
佔用保證金($),占用保证金($),Used margin ($),,มาร์จินที่ใช้ ($),,,,,,,,,Chiếm tiền gửi ($),,,प्रयुक्त मार्जिन($),,,assets.positionMargin
可用保證金($),可用保证金($),Free margin ($),,ฟรีมาร์จิน ($),,,,,,,,,Tiền gửi có sẵn ($),,,फ्री मार्जिन($),,,assets.availableMargin
資金重置,资金重置,Funds reset,,รีเซ็ตกองทุน,,,,,,,,,Kinh phí,,,फंड रीसेट,,,assets.fundsReset
帳號資訊,账号资讯,Account Information,,ข้อมูลเกี่ยวกับบัญชี,,,口座情報,,,계정 정보,,,Thông tin tài khoản,,,खाता संबंधी जानकारी,,,memberCenter.accountInfo
成為代理,成为代理,Become an Agent,,เป็นตัวแทน,,,エージェントになります,,,에이전트가 되십시오,,,Trở thành Đại lý,,,एक एजेंट बनें,,,"memberCenter.applyAgent,applyAgent.appBarTitle,applyAgent.applyAgentButton"
會員中心,会员中心,Member Center,,ศูนย์สมาชิก,,,メンバーセンター,,,회원 센터,,,Trung tâm hội viên,,,सदस्य केंद्र,,,memberCenter.appBarTitle
通知,通知,Notification,,การแจ้งเตือน,,,知らせ,,,알아채다,,,Thông báo,,,सूचित करें,,,"memberCenter.messageNotify,agentSetting.messageNotify"
成就 & 階級,成就 & 阶级,Achievement & Rank,,ความสำเร็จและอันดับ,,,功績とクラス,,,성취 및 수업,,,Thành tựu & cấp bậc,,,उपलब्धियाँ एवं पदानुक्रम,,,"memberCenter.achievement,agentSetting.achievementsLevel,achievementsLevel.appBarTitle"
獎勵,奖励,Rewards,,รางวัล,,,アワード,,,상,,,Thưởng khuyến khích,,,पुरस्कार,,,"memberCenter.award,award.appBarTitle,awardList.bonus,bonusHistory.appBarTitle,bonusHistory.itemBonus"
分享推薦碼,分享推荐码,Share Referral Code,,แชร์โค้ดแนะนำ,,,推奨コードを共有します,,,공유 추천 코드,,,Chia sẻ mã giới thiệu,,,रेफरल कोड साझा करें,,,"memberCenter.shareReferralCode,referralCodeShare.appBarTitle"
身份驗證,身份验证,Identity Certification,,ยืนยันตัวตน,,,認証,,,입증,,,Chứng nhận danh tính,,,आईडी सत्यापन,,,"memberCenter.identifyVerification,kycThemes.themeDataTabTitle,kycThemes.appBarTitleThemeData,kycManager.idVerify,identifyVerification.appBarTitle"
設定,设定,Settings,,การตั้งค่า,,,設定,,,환경,,,Thiết lập,,,सेटिंग,,,"memberCenter.setting,setting.appBarTitle"
合約屬性,合约属性,Contract Properties,,ประเภทของสัญญา,,,,,,,,,Thuộc tính Hợp đồng,,,अनुबंध संपत्तियाँ,,,memberCenter.contractProperties
聲明和協議,声明和协议,Statement and Agreement,,คำชี้แจงและข้อตกลง,,,宣言とプロトコル,,,선언 및 프로토콜,,,Tuyên bố và thỏa thuận,,,कथन और समझौता,,,memberCenter.statementAndAgreement
帳戶設定,账户设定,Account Settings,,การตั้งค่าบัญชี,,,アカウント設定,,,계정 설정,,,Thiết lập tài khoản,,,अकाउंट सेटिंग,,,memberCenter.accountSetting
已複製推薦碼,已复制推荐码,Referral Code Copied,,คัดลอกโค้ดแนะนำ,,,コピーするための推奨コード,,,복사를위한 권장 코드,,,Đã copy mã giới thiệu,,,रेफरल कोड कॉपी किया गया,,,memberCenter.copyReferralCodeToast
我的推薦碼,我的推荐码,My Referral Code,,โค้ดแนะนำของฉัน,,,私の推奨コード,,,내 추천 코드,,,Mã giới thiệu của tôi,,,मेरा रेफरल कोड,,,"memberCenter.myReferralCode,referralCodeShare.myReferralCode"
用戶服務,用户服务,User Service,,บริการผู้ใช้,,,ユーザーサービス,,,사용자 서비스,,,Dịch vụ người sử dụng,,,उपयोगकर्ता सेवा,,,memberCenter.userService
代理服務,代理服务,Agent Service,,บริการตัวแทน,,,プロキシサービス,,,프록시 서비스,,,Dịch vụ Đại lý,,,एजेंसी सेवा,,,memberCenter.agentService
切換回用戶模式,切换回用户模式,Switch to User Mode,,เปลี่ยนเป็นโหมดผู้ใช้,,,ユーザーモードに戻ります,,,사용자 모드로 다시 전환하십시오,,,Chuyển sang chế độ người sử dụng,,,उपयोगकर्ता मोड पर वापस जाएँ,,,memberCenter.backToUserService
切換至代理模式,切换至代理模式,Switch to Agent Mode,,เปลี่ยนเป็นโหมดตัวแทน,,,プロキシモードに切り替えます,,,프록시 모드로 전환하십시오,,,Chuyển sang chế độ Đại lý,,,प्रॉक्सी मोड पर स्विच करें,,,memberCenter.toAgentService
代理審核中,代理审核中,Agency under review,,อยู่ระหว่างการตรวจสอบของตัวแทน,,,エージェントレビュー,,,에이전트 검토,,,Đang thẩm hạch Đại lý,,,एजेंट समीक्षाधीन,,,memberCenter.agentStatusAudit
代理權限被撤銷,代理权限被撤销,Agent authority revoked,,เพิกถอนอำนาจของตัวแทน,,,エージェント許可が取り消されました,,,에이전트 권한이 취소되었습니다,,,Quyền hạn Đại lý bị hủy bỏ,,,एजेंसी का अधिकार रद्द कर दिया गया,,,memberCenter.agentStatusBlock
請先驗證真實帳戶,请先验证真实账户,Please verify your real account.,,โปรดยืนยันบัญชีจริงของคุณ,,,最初に実際のアカウントを確認してください,,,먼저 실제 계정을 확인하십시오,,,Vui lòng nghiệm chứng tài khoản thực,,,कृपया पहले वास्तविक खाता सत्यापित करें,,,memberCenter.verificationRealAccountFirst
等待真實帳戶審核中,等待真实账户审核中,Awaiting review for your real account,,กำลังรอการตรวจสอบบัญชีจริงของคุณ,,,実際のアカウントレビューを待っています,,,실제 계정 검토를 기다리고 있습니다,,,Đang chờ thẩm hạch tài khoản thực,,,वास्तविक खाते की समीक्षा की प्रतीक्षा है,,,memberCenter.waitVerificationRealAccount
鑽石階級,钻石阶级,Diamond Rank,,ระดับเพชร,,,ダイヤモンドクラス,,,다이아몬드 클래스,,,Cấp bậc kim cương,,,हीरे का स्तर,,,memberCenter.levelDiamond
會員,会员,Member,,สมาชิก,,,メンバー,,,회원,,,Hội viên,,,सदस्य,,,memberCenter.member
審核中,审核中,Under Certification,,กำลังตรวจสอบ,,,レビュー中,,,검토 중,,,Đang chứng nhận,,,समीक्षा के अंतर्गत,,,"memberCenter.idVerifyStatus.audit,paymentHistory.statusAudit,paymentHistory.orderStatusWithdrawAudit,paymentHistory.statusFail,paymentHistory.orderStatusDepositAudit,paymentHistory.orderStatusWithdrawHandle,agentUserPaymentHistoryList.orderStatusWithdrawAudit,agentUserPaymentHistoryList.orderStatusFail,agentUserPaymentHistoryList.orderStatusDepositAudit,agentUserPaymentHistoryList.orderStatusWithdrawHandle,kycManager.verifyStatus.audit,accountPaymentManager.statusAudit"
已通過,已通过,Passed,,ผ่าน,,,,,,,,,Đã thông qua,,,उत्तीर्ण,,,"memberCenter.idVerifyStatus.pass,kycManager.verifyStatus.pass"
未通過,未通过,Reject,,ปฏิเสธ,,,,,,,,,Không vượt qua,,,उत्तीर्ण नहीं हुआ,,,"memberCenter.idVerifyStatus.reject,kycManager.verifyStatus.reject,kycFieldDefault.normalReject,kycFieldDefault.imageReject"
未驗證,未验证,Unverified,,,,,,,,,,,,,,असत्यापित,,,memberCenter.idVerifyStatus.none
安全登出,安全登出,Logged out safely,,ออกจากระบบอย่างปลอดภัย,,,,,,,,,Đăng xuất an toàn,,,सुरक्षित साइन आउट,,,memberCenter.safeLogout
登入,登入,Login,,เข้าสู่ระบบ,,,ログインする,,,로그인,,,Đăng nhập,,,साइन इन,,,"memberCenter.login,common.login,signUp.loginButton"
註冊,注册,Register,,ลงทะเบียน,,,登録,,,등록하다,,,Đăng ký,,,रजिस्ट्रेशन,,,"memberCenter.signUp,agentReferralCodeList.registerTitle,signUp.registerButton,signUpNavigation.registerButton"
或,或,Or,,,,,,,,,,,,,,या,,,memberCenter.or
登出成功,登出成功,Logout Succeeded,,ออกจากระบบสำเร็จ,,,正常にログインします,,,성공적으로 로그인하십시오,,,Đăng nhập thành công,,,लॉगआउट सफल,,,memberCenter.logoutSuccess
關於我們,关于我们,Contact Us,,เกี่ยวกับเรา,,,,,,,,,về chúng tôi,,,हमारे बारे में,,,memberCenter.contactUs
用戶指南,用户指南,User Guide,,คู่มือผู้ใช้,,,,,,,,,Hướng dẫn sử dụng,,,उपयोगकर्ता गाइड,,,"memberCenter.userGuide,userGuideCategory.title"
出金帳戶設定,出金账户设定,Withdrawal Account Settings,,การตั้งค่าบัญชีถอนเงิน,,,ゴールドアカウント設定,,,금 계정 설정,,,Thiết lập tài khoản xuất tiền,,,निकासी खाता सेटिंग,,,"memberCenter.withdrawalAccountSettings,accountPaymentManager.appBarTitle,bankAccountDetail.appBarTitle"
Welcome to {appName},Welcome to {appName},Welcome to {appName},,,,,,,,,,,,,,{appName} में आपका स्वागत है,,,memberCenter.welcome
暫無行情,暂无行情,No quotes available for the moment,,ไม่มีใบเสนอราคาในขณะนี้,,,市場はありません,,,시장 없음,,,Tạm thời không có trạng thái,,,अभी तक कोई बाजार उद्धरण नहीं है,,,"futuresMarketContent.listEmptyTip,home.quotaEmptyTip"
添加自選,添加自选,Add optional,,เพิ่มตัวเลือก,,,から選択することを選択します,,,선택하도록 선택하십시오,,,Thêm tự chọn,,,मेरे पसंदीदा,,,"futuresMarketContent.addCustomQuotaTip,futuresMarketContent.addFavoriteButton,home.addCustomQuotaTip,futuresCustomEdit.emptyTip,noviceGuide.transactionGuide.stepProductDetailIntroduction2"
交易品種,交易品种,Varieties,,ประเภทซื้อขาย／ประเภทเทรด,,,トランザクションの種類,,,거래 품종,,,Loại giao dịch,,,ट्रेडिंग की किस्में,,,"futuresMarketContent.futuresName,home.tradingVarietyTitle,futuresCustomEdit.futuresName"
賣出,卖出,Sell,,อัตราการขาย,,,販売価格,,,판매 가격,,,Giá bán ra,,,बेचना,,,"futuresMarketContent.sellPrice,agentFundingPositionsList.sellTitle,agentFundingPositionsDetail.sellTitle,common.sellOut"
買入,买入,Buy,,อัตราการซื้อ,,,購入価格,,,구매 가격,,,Giá mua vào,,,खरीदना,,,"futuresMarketContent.buyPrice,agentFundingPositionsList.buyingTitle,agentFundingPositionsDetail.buyingTitle,common.buyIn"
自選,自选,Optional,,ตัวเลือก,,,選択,,,선택,,,Tự chọn,,,मेरे पसंदीदा,,,"futuresMarketContent.customTab,home.futuresTabFavorite"
輸入交易品種 / 英文名稱,输入交易品种 / 英文名称,Enter variety / English name,,ป้อนประเภทซื้อขาย(ประเภทเทรด) / ชื่อภาษาอังกฤษ,,,トランザクションの品種 /英語名を入力します,,,트랜잭션 품종 / 영어 이름을 입력하십시오,,,Nhập loại giao dịch / Tên tiếng Anh,,,खोज प्रतीक,,,"futuresMarketContent.searchHint,home.searchHint,futuresSearch.searchInputHint"
可用餘額,可用余额,Available,,ยอดเงินคงเหลือ,,,利用可能残高,,,사용 가능한 잔액,,,Số dư khả dụng,,,उपलब्ध ,,,"futuresMarketContent.availableBalance,agentUsersDetail.availableBalance,accountTransaction.availableBalance,walletAssetsPopup.availableBalance,futuresTransaction.availableBalance"
最新價,最新价,Current Price,,ราคาปัจจุบัน,,,最新の価格,,,최신 가격,,,Giá mới nhất,,,अंतिम,,,"futuresMarketContent.lastPrice,home.lastPrice,positions.lastPrice"
漲跌幅,涨跌幅,Volatility,,ความผันผวน,,,引用の変更,,,견적 변경,,,Phạm vi tăng giảm,,,भाव परिवर्तन,,,"futuresMarketContent.changeRate,home.changeRate,futuresChart.changeRate"
漲跌幅/價差,涨跌幅/价差,Volatility / Spread,,ความผันผวน / สเปรด,,,,,,,,,Tăng và giảm/khác biệt,,,मूल्य परिवर्तन/प्रसार,,,futuresMarketContent.changeRateSpread
價差,价差,Spread,,Spread,,,ポイントの違い,,,포인트 차이,,,Giá chênh lệch,,,फ्लोटिंग स्प्रेड,,,"futuresMarketContent.spreadPrefix,home.spreadPrefix,agentTransactionSettingList.spreadTitle,agentConditionFuturesList.spreadTitle,futuresContract.spread"
"MARKET
PLAY","MARKET
PLAY","MARKET
PLAY",,,,,,,,,,,,,,Panda Futures,,,home.appBarTitle
賣出價,卖出价,Sell,,อัตราการขาย,,,販売価格,,,판매 가격,,,Giá bán ra,,,विक्रय मूल्य,,,"home.sellingPriceTitle,futuresAlert.sellOutPrice,futuresDetail.sellOutPrice"
買入價,买入价,Buy,,อัตราการซื้อ,,,購入価格,,,구매 가격,,,Giá mua vào,,,खरीद मूल्य,,,"home.buyingPriceTitle,futuresAlert.buyInPrice,futuresDetail.buyInPrice"
多元交易產品安全,多元交易产品安全,"Diverse Transaction, Safe Products",,ความปลอดภัยของผลิตภัณฑ์การซื้อขายที่หลากหลาย,,,より多くのトランザクション製品が安全です,,,더 많은 거래 제품이 안전합니다,,,An toàn sản phẩm giao dịch đa dạng,,,बहु-व्यापार उत्पाद सुरक्षा,,,home.defaultBannerTitle
快速下單直覺 多樣化下單工具,快速下单直觉 多样化下单工具,"Quick and intuitive ordering, diversified order placement tools",,การสั่งซื้อที่รวดเร็วและใช้งานง่าย เครื่องมือการจัดวางคำสั่งซื้อที่หลากหลาย,,,直感的な多様な注文ツールを注文する,,,직관적 인 다양한 주문 도구를 신속하게 주문하십시오,,,Trực giác chốt đơn nhanh  Công cụ chốt đơn đa dạng hóa,,,"त्वरित ऑर्डर प्लेसमेंट, सहज और विविध ऑर्डर प्लेसमेंट उपकरण",,,home.defaultBannerSubtitle
更多交易,更多交易,More,,การซื้อขายอื่นๆ,,,より多くのトランザクション,,,더 많은 거래,,,Thêm nhiều gia dịch,,,अधिक,,,home.moreTransaction
公告,公告,Announcement,,ประกาศ,,,発表,,,발표,,,Thông báo,,,घोषणा,,,"home.announcement,announcement.appBarTitle"
歡迎來到{appName}~,欢迎来到{appName}~,Welcome to {appName}~,,ยินดีต้อนรับสู่ {appName}~,,,{appName}〜へようこそ,,,{appName} ~에 오신 것을 환영합니다,,,Chào mừng đến với {appName}~,,,{appName}~ में आपका स्वागत है,,,home.defaultMarquee
專屬客服,专属客服,Exclusive Customer Service,,ฝ่ายบริการลูกค้าพิเศษ,,,排他的なカスタマーサービス,,,독점 고객 서비스,,,Dịch vụ Khách hàng độc quyền,,,समर्पित ग्राहक सेवा,,,"home.customerServiceButton,depositThirdParty.tip2,customerService.appBarTitle"
更方便、更快捷、更高效的服務,更方便、更快捷、更高效的服务,"More convenient, faster and more efficient service",,บริการสะดวก รวดเร็ว และมีประสิทธิภาพยิ่งขึ้น,,,簡単で、より速く、より効率的なサービス,,,쉽고 빠르며 효율적인 서비스,,,"Dịch vụ tiện hơn, nhanh hơn, hiệu quả cao hơn",,,"अधिक सुविधाजनक, तेज़ और अधिक कुशल सेवा",,,home.customerServiceContent
任務中心,任务中心,Mission Center,,ศูนย์ภารกิจ,,,ミッションセンター,,,미션 센터,,,Trung tâm nhiệm vụ,,,मिशन केंद्र,,,home.missionButton
歡迎 ~ 立即交易全球市場,欢迎 ~ 立即交易全球市场,Welcome ~ Trade in the global market now.,,ยินดีต้อนรับ ~ ซื้อขายในตลาดโลกตอนนี้,,,ようこそ〜グローバル市場をすぐに取引してください,,,환영합니다 ~ 글로벌 시장을 즉시 거래하십시오,,,Chào mừng ~ lập tức giao dịch thị trường toàn cầu,,,स्वागत है ~ अभी वैश्विक बाज़ारों में व्यापार करें,,,home.logoMessageContent
訂單列表,订单列表,Order List,,รายการสั่งซื้อ,,,オーダーリスト,,,주문 목록,,,Bảng liệt kê Đơn đặt hàng,,,आदेश सूची,,,home.tradeListButton
活動,活动,Event,,เหตุการณ์,,,アクティビティ,,,활동,,,Hoạt động,,,प्रोमोशन.,,,"home.eventButton,campaign.title,bonusHistory.source_event"
教學,教学,Tutorial,,เทรนนิ่ง／การสอน,,,教育,,,가르치는,,,Dạy học,,,शिक्षण,,,"home.tutorialButton,qa.appBarTitle"
熱門交易,热门交易,Top Transactions,,การซื้อขายยอดนิยม,,,人気のある取引,,,인기있는 거래,,,Giao dịch phổ biến,,,लोकप्रिय,,,home.futuresTabTop
讀取中...,读取中...,Loading...,,,,,,,,,,,,,,लोड हो रहा है...,,,home.bannerLoading
提示,提示,Tip:,,คำใบ้,,,,,,,,,Gợi ý,,,महत्वपूर्ण रिमाइंडर ,,,home.idVerifyNeedPopup.title
"尚未完成/通過身分驗證
請通過身分驗證後，再進行{target}","尚未完成/通过身分验证
请通过身分验证后，再进行{target}","Identity verification not yet completed/passed 
Please pass the identity verification before making a {target}.",,การยืนยันตัวตนไม่สำเร็จ/ผ่าน กรุณาทำการ{target}ใหม่เมื่อผ่านการยืนยันตัวตน,,,,,,,,,"Chưa hoàn thành / thông qua nghiệm chứng danh tính
Vui lòng tiến hành {target} lại sau khi thông qua nghiệm chứng danh tính",,,पहचान सत्यापन पूरा/पारित नहीं हुआ है कृपया {target} पर आगे बढ़ने से पहले पहचान सत्यापन पास करें।,,,home.idVerifyNeedPopup.content
前往驗證身份,前往验证身份,Verify your identity,,ยืนยันตัวตน,,,,,,,,,Vào nghiệm chứng danh tính,,,पहचान वेरिफिकेशन आवश्यक है,,,home.idVerifyNeedPopup.confirm
帳戶尚未經過驗證,账户尚未经过验证,Account has not been verified,,บัญชียังไม่ได้รับการยืนยัน,,,,,,,,,Tài khoản chưa được xác minh,,,खाता अभी सत्यापित नहीं हुआ है,,,home.kycNeedSheet.statusNoneTitle
帳戶正在驗證中,账户正在验证中,Account is being verified,,บัญชีกําลังได้รับการยืนยัน,,,,,,,,,Tài khoản đang được xác minh,,,खाते का सत्यापन किया जा रहा है,,,home.kycNeedSheet.statusAuditTitle
帳戶尚未通過驗證,账户尚未通过验证,Account has not been verified,,บัญชียังไม่ได้รับการยืนยัน,,,,,,,,,Tài khoản chưa được thông qua xác minh,,,खाता अभी सत्यापित नहीं हुआ है,,,home.kycNeedSheet.statusRejectTitle
請先完成入金驗證,请先完成入金验证,Please complete the deposit verification first,,โปรดยืนยันการฝากเงินให้เสร็จสมบูรณ์ก่อน,,,,,,,,,Vui lòng hoàn thành xác thực tiền gửi trước tiên,,,कृपया पहले जमा सत्यापन पूरा करें,,,"home.kycNeedSheet.statusNoneDeposit,home.kycNeedSheet.statusRejectDeposit"
請先完成出金驗證,请先完成出金验证,Please complete the withdrawal verification first,,โปรดยืนยันการถอนเงินให้เสร็จสมบูรณ์ก่อน,,,,,,,,,Vui lòng hoàn thành xác minh vàng trước,,,कृपया पहले निकासी सत्यापन पूरा करें,,,"home.kycNeedSheet.statusNoneWithdraw,home.kycNeedSheet.statusRejectWithdraw"
請先開通模擬帳戶,请先开通模拟账户,Please open a simulate account first,,โปรดเปิดบัญชีเสมือนจริงก่อน,,,,,,,,,Vui lòng mở tài khoản analog trước tiên,,,कृपया पहले एक डेमो खाता खोलें,,,"home.kycNeedSheet.statusNonePaperAccount,home.kycNeedSheet.statusRejectPaperAccount"
請稍等驗證完成,请稍等验证完成,Please wait for the verification to complete,,โปรดรอให้การยืนยันเสร็จสมบูรณ์,,,,,,,,,Vui lòng đợi cho đến khi xác minh hoàn thành,,,कृपया सत्यापन पूरा होने तक प्रतीक्षा करें,,,"home.kycNeedSheet.statusAuditDeposit,home.kycNeedSheet.statusAuditWithdraw,home.kycNeedSheet.statusAuditPaperAccount"
前往驗證,前往验证,Go to verification,,ไปที่การยืนยัน,,,,,,,,,Đi đến xác minh,,,पहचान वेरिफिकेशन आवश्यक है,,,"home.kycNeedSheet.statusNoneConfirm,home.kycNeedSheet.statusRejectConfirm"
查看資訊,查看资讯,view information,,ดูข้อมูล,,,,,,,,,Xem thông tin,,,जानकारी देखें,,,home.kycNeedSheet.statusAuditConfirm
手續費,手续费,Handling Fee,,ค่าธรรมเนียม,,,手数料,,,수수료,,,Phí thực hiện,,,संचालन शुल्क,,,"paymentHistory.fee,agentFundingPositionsList.handlingFeeTitle,agentFundingPositionsDetail.handlingFeeTitle,agentUsersDetail.handlingFeeTitle,transactionHistoryDetail.fee,futuresTransaction.totalCostPopup.handlingFee,agentTransactionSettingList.handlingFeeTitle,agentConditionFuturesList.handlingFeeTitle,futuresContract.handlingFee,positionDetail.handlingFee,orderDetail.handlingFee"
單號,单号,Order No,,เลขที่ใบสั่งซื้อ,,,単一番号,,,단일 번호,,,Số Đơn,,,क्रम संख्या,,,"paymentHistory.orderSerial,agentFundingPositionsList.singleNumberTitle,agentFundingPositionsDetail.singleNumberTitle,withdrawCategory.orderSerial"
清除,清除,Clear,,ชัดเจน,,,削除する,,,제거하다,,,Thanh trừ,,,स्पष्ट,,,"paymentHistory.filterPopup.clearButton,agentUserPaymentHistory.filterPopup.cleanButton,agentProfitSharing.filterPopup.cleanButton,agentUser.filterPopup.cleanButton,agentFundingDetails.filterPopup.cleanButton,agentUserProfitSharingForm.filterPopup.cleanButton"
